,-0.09844735653883804,-0.08054783716814022,-0.0626483177974424,-0.044748798426744577,-0.026849279056046754,-0.008949759685348932,0.00894975968534889,0.0268492790560467,0.044748798426744535,0.06264831779744237,0.08054783716814018,0.09844735653883799,0.11634687590953582,0.13424639528023366,0.15214591465093144,0.17004543402162928,0.1879449533923271,0.20584447276302495,0.22374399213372279,0.24164351150442057
thresh,-0.0715980774827913,0.0715980774827913,2,,,,,,,,,,,,,,,,,
unreg,1,0,1,12,193,1942,1447,196,29,7,2,3,0,2,0,2,0,0,0,0
lexA,0,0,0,0,0,14,11,3,3,4,2,3,2,1,1,3,1,1,0,0
unreg_genes,['rtcR'],[],[],[],[],[],[],[],[],[],['yeeA' 'msgA'],['STM2137' 'STM4032' 'STM2240'],[],['yebE' 'STM2627'],[],['yebF' 'STM1008'],[],[],[],[]
lexA_genes,[],[],[],[],[],"['ddlB' 'murE' 'ptr' 'ftsA' 'rpsU' 'murD' 'ftsL' 'ftsQ' 'lpxC' 'recD'
 'recB' 'mraY' 'murG' 'rpoD']","['murF' 'murC' 'ftsW' 'ftsZ' 'ftsI' 'recQ' 'phrB' 'dnaG' 'STM3516' 'yjiW'
 'uvrC']",['uvrY' 'STM3517' 'ydjM'],['ybiB' 'ssb' 'uvrD'],['oraA' 'uvrB' 'dinG' 'uvrA'],['ruvB' 'polB'],['STM1309' 'ruvA' 'dinF'],['lexA' 'dinP'],['recA'],['sbmC'],['umuC' 'sulA' 'recN'],['umuD'],['yebG'],[],[]
