,ybaA
Cr_1,-0.013810534491071693
Cr_2,-0.01835472447767372
Cr_3,-0.026333245641808858
Cr_4,-0.04600451179401161
Cr_5,-0.05326002737516368
Cr_6,-0.05622343700988284
Fe_1,-0.0022572702218232035
Fe_2,-0.03680332988401749
Fe_3,-0.09605598113170168
Fe_4,-0.16278971678843973
Fe_5,-0.22197472613841174
Fe_6,-0.29209209760811244
Cd_1,0.3429918658556173
Cd_2,0.7594624855026925
Cd_3,1.1267112909429782
Cd_4,1.5308746597331775
Cd_5,1.8939954310899076
Cd_6,2.097119836820277
Zn_1,-0.00831539689411648
Zn_2,-0.011264898413288885
Zn_3,-0.036577615944428384
Zn_4,-0.05743054184064216
Zn_5,-0.07875684958801668
Zn_6,-0.10462639612535404
Cu_1,0.013413089814902442
Cu_2,0.0255120814959475
Cu_3,0.03966539909036136
Cu_4,0.04395113751697613
Cu_5,0.056521085285131036
Cu_6,0.06321898408404314
Pb_1,0.015369623537320078
Pb_2,0.02080561969860769
Pb_3,0.02675104219363082
Pb_4,0.045131589767762464
Pb_5,0.05319847551862813
Pb_6,0.05782518668423575
