,ypdA
Cr_1,0.0014868280207030126
Cr_2,0.00959621935637562
Cr_3,0.019738059985049152
Cr_4,0.029619062816489912
Cr_5,0.038087949570443584
Cr_6,0.04393667300865596
Fe_1,-0.010873307843083858
Fe_2,-0.030693392051311073
Fe_3,-0.05416209657182284
Fe_4,-0.07691681307289007
Fe_5,-0.0918496642568408
Fe_6,-0.10224184501458353
Cd_1,-0.0016211971613517256
Cd_2,-0.0009119428892177576
Cd_3,0.0035010954314663423
Cd_4,0.006896929834704038
Cd_5,0.005457301314301169
Cd_6,0.008460625982751959
Zn_1,-0.00580250278288436
Zn_2,-0.009548885824996932
Zn_3,-0.0036787463576694493
Zn_4,0.01135216861652686
Zn_5,0.025549937407872182
Zn_6,0.039358378027855495
Cu_1,0.0010541782078262432
Cu_2,0.00011203025332828421
Cu_3,0.00035377777734462465
Cu_4,-0.0009859770287122362
Cu_5,-0.0003774065702378373
Cu_6,0.003354324525458789
Pb_1,0.013517972372054215
Pb_2,0.024363105905011832
Pb_3,0.03694906129968039
Pb_4,0.05129590239751634
Pb_5,0.06219042833587974
Pb_6,0.07114318484362908
