,BSU_misc_RNA_6
M9exp_1,12.8196
M9exp_2,12.2568
M9exp_3,12.2184
M9tran_1,12.4309
M9tran_2,12.233
M9tran_3,12.8336
M9stat_1,11.203
M9stat_2,10.644
M9stat_3,10.5251
MG-0.1_1,12.5798
MG-0.1_2,12.1746
MG-0.1_3,13.1492
MG-0.2_2,12.5258
MG-0.2_3,12.9138
MG+5_1,12.5663
MG+5_2,12.4042
MG+5_3,12.3446
MG+10_1,12.9956
MG+10_2,12.7962
MG+10_3,11.9982
MG+15_1,12.0796
MG+15_2,12.671
MG+15_3,12.67
MG+25_1,12.2947
MG+25_2,11.9331
MG+25_3,12.4504
MG+45_1,11.9962
MG+45_2,11.9937
MG+45_3,12.6287
MG+60_2,12.4867
MG+60_3,12.7097
MG+90_2,11.9241
MG+90_3,12.6143
MG+120_1,11.9579
MG+120_2,12.6937
MG+120_3,12.1694
MG+150_1,12.4341
MG+150_3,12.7189
GM-0.1_1,12.0243
GM-0.1_2,12.2085
GM-0.1_3,12.8934
GM-0.2_1,12.0514
GM-0.2_2,12.2764
GM-0.2_3,12.4299
GM+5_1,12.0787
GM+5_2,12.4258
GM+5_3,12.775
GM+10_2,12.4822
GM+10_3,11.4921
GM+15_1,12.5197
GM+15_2,12.6351
GM+15_3,12.6659
GM+25_1,13.0116
GM+25_2,12.7545
GM+25_3,12.2932
GM+45_1,12.7833
GM+45_2,12.0221
GM+45_3,11.5382
GM+60_1,12.615
GM+60_2,11.9401
GM+60_3,11.6402
GM+90_1,12.708
GM+90_2,12.6309
GM+90_3,11.7956
GM+120_1,11.7411
GM+120_3,12.0884
GM+150_1,12.6521
GM+150_2,12.021
GM+150_3,12.3629
BT_1,11.8615
BT_2,11.5922
B36_1,13.6275
B36_2,13.3665
B60_1,13.4954
B60_2,13.5657
S0_1,12.5502
S0_2,12.3267
S0_3,12.2876
S1_1,13.0159
S1_2,13.0055
S1_3,13.0442
S2_1,12.3056
S2_2,12.0628
S2_3,11.7675
S3_1,12.5223
S3_2,12.793
S4_1,13.3285
S4_2,12.9085
S4_3,12.4129
S5_1,13.1341
S5_2,13.1774
S5_3,13.4752
S6_1,12.999
S6_2,10.6171
S6_3,12.5096
S6/t_1,12.67
S6/t_2,9.8986
S6_4,12.9369
S6_5,13.5122
S6_6,13.6652
S7_4,12.9454
S7_5,12.3203
S7_6,13.2553
S8_4,12.0813
S8_5,10.5743
G135_1,11.5416
G135_3,9.8973
G150_1,11.6698
G150_2,12.5829
G150_3,11.2772
G180_1,11.9019
G180_2,12.3382
G180_3,11.3498
T-5.40H_1,13.7325
T-4.40H_1,13.4544
T-3.40H_1,13.409
T-2.40H_1,13.0562
T-1.40H_1,13.3205
T-1.10H_1,13.2216
T-0.40H_1,13.6301
T0.0H_1,13.1839
T0.30H_1,11.7344
T1.0H_1,11.8994
T1.30H_1,11.5051
T2.0H_1,11.7559
T2.30H_1,12.6937
T3.0H_1,12.4283
T3.30H_1,12.865
T4.0H_1,12.8586
T5.0H_1,12.2785
LBexp_1,12.3738
LBexp_2,12.5715
LBexp_3,12.0244
LBtran_1,12.4602
LBtran_2,12.2792
LBtran_3,12.3067
LBstat_1,12.3675
LBstat_2,12.1419
LBstat_3,12.0245
LBGexp_1,12.5979
LBGexp_2,12.0856
LBGexp_3,11.8554
LBGtran_2,11.7648
LBGtran_3,12.8547
LBGstat_1,11.5201
LBGstat_2,10.7555
LBGstat_3,11.7334
Mt0_1,11.9035
Mt0_3,12.5104
M0t45_1,12.755
M0t45_2,12.1745
M0t45_3,13.0057
M0t90_1,11.6572
M0t90_2,12.9476
M0t90_3,12.3724
M40t45_1,12.1225
M40t45_2,12.6332
M40t45_3,13.2902
M40t90_1,11.8843
M40t90_2,12.7917
M40t90_3,12.7345
dia0_1,11.8803
dia0_2,12.0554
dia0_3,12.413
dia5_1,12.2886
dia5_2,12.1923
dia5_3,12.4811
dia15_1,13.0072
dia15_2,13.191
dia15_3,12.7617
C30_1,12.9161
C30_2,13.2891
C90_1,14.307
C90_2,14.5281
SMM_1,12.4738
SMM_2,12.4972
SMM_3,12.4162
Salt_1,12.4765
Salt_2,12.3271
Salt_3,12.2326
M+G_1,11.8251
M+G_2,12.2412
M+G_3,12.2463
Glu_1,12.7969
Glu_2,12.1495
Glu_3,12.4377
Fru_1,12.2475
Fru_2,12.8203
Fru_3,11.9924
Mal_1,11.4496
Mal_2,11.5463
Mal_3,11.9073
G+S_2,12.6479
G+S_3,12.798
Pyr_1,12.3372
Pyr_2,12.7544
Pyr_3,12.7368
Gly_1,10.856
Gly_2,11.5038
Gly_3,9.6115
Glucon_1,11.5715
Glucon_2,11.8538
Glucon_3,10.6285
BI_1,14.3235
BI_2,14.3653
BC_2,14.0779
BC/t_1,13.6346
BC/t_2,13.8644
BC_1,13.4311
Sw_1,14.3691
Sw_2,14.6838
BMM_1,12.6404
BMM_2,12.2639
BMM_3,12.6659
Heat_1,12.4923
Heat_2,12.5737
Heat_3,11.77
Cold_1,13.7407
Cold_2,12.809
Cold_3,12.2438
Etha_1,11.4523
Etha_2,10.5654
Etha_3,11.2582
SMMPr_1,12.6
SMMPr_2,12.2954
SMMPr_3,12.4441
HiTm_1,9.8518
HiTm_2,11.1893
HiTm_3,12.1975
LoTm_1,14.7682
LoTm_2,14.6123
LoTm_3,14.5544
HiOs_1,12.7176
HiOs_2,12.5115
HiOs_3,12.1759
Oxctl_1,12.5543
Oxctl_2,12.3806
Oxctl_3,12.8989
Diami_1,13.0312
Diami_2,13.2747
Diami_3,13.2674
Paraq_1,13.2038
Paraq_2,13.5214
Paraq_3,10.7606
H2O2_1,13.1159
H2O2_2,13.4669
H2O2_3,13.207
HPh_1,13.2506
HPh_2,13.0597
HPh_3,13.3164
LPh_1,13.3057
LPh_2,13.5644
LPh_3,12.8214
LPhT_1,13.4955
LPhT_2,13.6169
LPhT_3,13.6522
aero_1,13.7556
aero_2,12.1577
aero_3,13.3416
nit_1,13.3489
nit_2,13.4663
nit_3,13.1776
ferm_1,12.9084
ferm_2,12.9595
ferm_3,13.3478
