,slp
Cr_1,0.005624224534684299
Cr_2,0.012093771149178187
Cr_3,0.02309880334917344
Cr_4,0.03621879856631915
Cr_5,0.04398134433127709
Cr_6,0.04822482345353672
Fe_1,-0.012782544691288743
Fe_2,-0.038398086224989636
Fe_3,-0.06663275871014585
Fe_4,-0.0882986026016181
Fe_5,-0.1076668511613958
Fe_6,-0.11542969880461425
Cd_1,0.0016759683521043258
Cd_2,0.0029956364545190963
Cd_3,0.0054696497991479
Cd_4,0.00829660295699412
Cd_5,0.00681525891243339
Cd_6,0.01391084467661292
Zn_1,-0.005829692702706949
Zn_2,-0.009692634946100813
Zn_3,-0.009076357854220151
Zn_4,-0.0034096656130313137
Zn_5,-0.0020395533286618078
Zn_6,0.0029161253576476674
Cu_1,-0.00618235994330079
Cu_2,-0.013322262895356776
Cu_3,-0.01957848455676375
Cu_4,-0.028264389435497105
Cu_5,-0.03477226178897623
Cu_6,-0.042285866706493036
Pb_1,-0.0004866425178089876
Pb_2,0.0031567937465430003
Pb_3,0.009252076958151351
Pb_4,0.01331833906896559
Pb_5,0.015274167299889375
Pb_6,0.015735492656317157
