,yaiA
Cr_1,-0.0011483837349442734
Cr_2,0.001019518157931633
Cr_3,0.009739557338668232
Cr_4,0.018627353486594347
Cr_5,0.02968757894742141
Cr_6,0.04091552761699314
Fe_1,-0.006495464537496126
Fe_2,-0.03379165923419307
Fe_3,-0.07074581123913752
Fe_4,-0.11657443933707973
Fe_5,-0.1571722276482849
Fe_6,-0.1885941347303941
Cd_1,0.0048658686459121005
Cd_2,0.01337795207818047
Cd_3,0.021232787719314233
Cd_4,0.027448237214346933
Cd_5,0.028943087372786717
Cd_6,0.037270784765991695
Zn_1,-0.006440792891403853
Zn_2,-0.012090686013581502
Zn_3,-0.010720987295593256
Zn_4,-0.0009701800407538561
Zn_5,0.004005463708513142
Zn_6,0.004829444462715278
Cu_1,0.007366264802183781
Cu_2,0.014620238504822284
Cu_3,0.01740909960941042
Cu_4,0.017257511334970124
Cu_5,0.020536717273410846
Cu_6,0.025345173359656463
Pb_1,0.013888548218096377
Pb_2,0.029760817747865112
Pb_3,0.046292295281162604
Pb_4,0.06606375467713176
Pb_5,0.08431615290242109
Pb_6,0.10214954401351944
