,new_556002_556561
M9exp_1,9.5646
M9exp_2,9.1433
M9exp_3,9.0555
M9tran_1,8.6692
M9tran_2,8.8034
M9tran_3,8.9451
M9stat_1,8.106
M9stat_2,8.2318
M9stat_3,8.0381
MG-0.1_1,9.0753
MG-0.1_2,8.4938
MG-0.1_3,9.4976
MG-0.2_2,8.9872
MG-0.2_3,9.1402
MG+5_1,9.2946
MG+5_2,8.7979
MG+5_3,9.2847
MG+10_1,9.4637
MG+10_2,9.1408
MG+10_3,8.5312
MG+15_1,9.1038
MG+15_2,10.2234
MG+15_3,9.5796
MG+25_1,9.4514
MG+25_2,9.0054
MG+25_3,9.5385
MG+45_1,9.2943
MG+45_2,8.4305
MG+45_3,9.8277
MG+60_2,9.0577
MG+60_3,8.9979
MG+90_2,8.4949
MG+90_3,9.5101
MG+120_1,8.1863
MG+120_2,9.1826
MG+120_3,9.0807
MG+150_1,9.1026
MG+150_3,9.2912
GM-0.1_1,8.9137
GM-0.1_2,9.6538
GM-0.1_3,9.7821
GM-0.2_1,8.9341
GM-0.2_2,9.8824
GM-0.2_3,9.5856
GM+5_1,9.0583
GM+5_2,9.2588
GM+5_3,9.17
GM+10_2,9.3375
GM+10_3,8.4182
GM+15_1,9.1645
GM+15_2,9.3666
GM+15_3,9.1536
GM+25_1,9.8587
GM+25_2,9.518
GM+25_3,9.1653
GM+45_1,9.4812
GM+45_2,8.7841
GM+45_3,8.5815
GM+60_1,9.5037
GM+60_2,8.7929
GM+60_3,8.8847
GM+90_1,9.4077
GM+90_2,9.5244
GM+90_3,9.6441
GM+120_1,8.4587
GM+120_3,9.5399
GM+150_1,8.9714
GM+150_2,8.3688
GM+150_3,9.0696
BT_1,8.2769
BT_2,7.6937
B36_1,8.2953
B36_2,8.2237
B60_1,8.2897
B60_2,8.4571
S0_1,8.3433
S0_2,8.3263
S0_3,8.3876
S1_1,9.4832
S1_2,9.2814
S1_3,9.4555
S2_1,8.8904
S2_2,8.6206
S2_3,8.2428
S3_1,8.3943
S3_2,8.2051
S4_1,8.1812
S4_2,7.7494
S4_3,7.7048
S5_1,7.7094
S5_2,7.5818
S5_3,7.7613
S6_1,7.6428
S6_2,7.5713
S6_3,7.359
S6/t_1,8.6895
S6/t_2,7.6767
S6_4,8.4825
S6_5,8.6713
S6_6,8.5673
S7_4,9.9419
S7_5,10.0452
S7_6,10.4626
S8_4,9.8268
S8_5,10.5873
G135_1,8.6005
G135_3,7.7093
G150_1,8.0195
G150_2,7.782
G150_3,8.2527
G180_1,8.0645
G180_2,7.9496
G180_3,7.5597
T-5.40H_1,9.7234
T-4.40H_1,9.3926
T-3.40H_1,9.1504
T-2.40H_1,8.8778
T-1.40H_1,8.8488
T-1.10H_1,9.0649
T-0.40H_1,8.829
T0.0H_1,8.7033
T0.30H_1,8.7054
T1.0H_1,8.5261
T1.30H_1,8.4928
T2.0H_1,8.3727
T2.30H_1,8.6037
T3.0H_1,8.0014
T3.30H_1,8.4689
T4.0H_1,8.2489
T5.0H_1,8.1882
LBexp_1,8.2849
LBexp_2,8.5991
LBexp_3,8.4754
LBtran_1,8.1685
LBtran_2,8.1678
LBtran_3,8.0565
LBstat_1,8.6644
LBstat_2,8.6004
LBstat_3,8.5761
LBGexp_1,8.0989
LBGexp_2,8.3727
LBGexp_3,8.0625
LBGtran_2,8.0675
LBGtran_3,8.2856
LBGstat_1,7.7561
LBGstat_2,7.7289
LBGstat_3,8.1204
Mt0_1,8.3732
Mt0_3,8.1625
M0t45_1,8.3437
M0t45_2,8.7081
M0t45_3,8.4783
M0t90_1,8.1593
M0t90_2,8.8211
M0t90_3,8.5072
M40t45_1,8.2951
M40t45_2,8.4431
M40t45_3,8.5394
M40t90_1,8.2127
M40t90_2,8.7905
M40t90_3,8.6847
dia0_1,8.0756
dia0_2,8.388
dia0_3,8.2678
dia5_1,8.1195
dia5_2,8.6979
dia5_3,8.3724
dia15_1,9.3224
dia15_2,8.657
dia15_3,8.0608
C30_1,10.0839
C30_2,10.2781
