,uspF
Cr_1,0.004270932832191495
Cr_2,0.011507525680107863
Cr_3,0.018998718485897303
Cr_4,0.027575390650632185
Cr_5,0.03529539644161675
Cr_6,0.04164250898195003
Fe_1,-0.0059797640102798545
Fe_2,-0.02095808015703924
Fe_3,-0.04969018505711014
Fe_4,-0.08200413639060575
Fe_5,-0.11437041264733346
Fe_6,-0.14253443279407574
Cd_1,-0.00120479071634906
Cd_2,-0.002153689501492412
Cd_3,-0.0015321404219544074
Cd_4,-0.0011677255548131786
Cd_5,-0.0046296277253199255
Cd_6,-0.0016717901020334108
Zn_1,-0.00849088286070509
Zn_2,-0.018491798044217484
Zn_3,-0.023276673977187426
Zn_4,-0.022381616424279424
Zn_5,-0.02148265307507757
Zn_6,-0.01999193015418
Cu_1,0.0027179446278758892
Cu_2,0.008794472483959441
Cu_3,0.015953089292306728
Cu_4,0.020771778711794704
Cu_5,0.02433967314936693
Cu_6,0.03071479674582313
Pb_1,0.008992875727885288
Pb_2,0.020324435474604368
Pb_3,0.02801961756856907
Pb_4,0.04234778469192962
Pb_5,0.056679731874910676
Pb_6,0.07107771280710526
