,A,PhoB
R2,,0.13612324746662807
xmin,,-5.282633958
xmid,,-0.017334354567222737
xmax,,5.022704642
ystart,,0.1052430362172859
yend,,8.608175250457789
control__wt_glc__1,0.2945127776,0.022011199000000002
control__wt_glc__2,-0.2945127776,-0.022011199000000002
fur__wt_dpd__1,3.3080630307,0.49364744400000005
fur__wt_dpd__2,4.1383587913,0.6525144970000001
fur__wt_fe__1,0.9391363865000001,-0.33624591
fur__wt_fe__2,0.9445267645000001,-0.251041913
fur__delfur_dpd__1,2.9540926046,0.48604134
fur__delfur_dpd__2,2.6554439093999997,0.240288086
fur__delfur_fe2__1,1.3200802112,0.022271428000000003
fur__delfur_fe2__2,1.4846475254,0.086509865
acid__wt_ph5__1,0.6887460332,0.28386598700000004
acid__wt_ph5__2,0.6434210337,0.45290884800000003
acid__delgadx_ph5__2,0.6928124132,0.111884694
acid__delgadw_ph5__1,1.285821086,0.517494837
acid__delgadw_ph5__2,1.2754659356,0.460631214
acid__delgade_ph5__1,1.0707838917,0.641170009
acid__delgade_ph5__2,0.9999789996,0.568871652
oxidative__wt_pq__1,2.0144541341,0.521026505
oxidative__wt_pq__2,2.6291873595,0.8105942770000001
oxidative__deloxyr_pq__1,0.8330662938000001,0.8091225999999999
oxidative__deloxyr_pq__2,1.3076142279,0.7159930750000001
oxidative__delsoxr_pq__1,1.1021832009,0.40233147300000005
oxidative__delsoxr_pq__2,2.2573907182,0.5397652470000001
oxidative__delsoxs_pq__1,1.7641776694,0.6787950770000001
oxidative__delsoxs_pq__2,1.5668634455000001,0.6795322500000001
nac_ntrc__wt_csn__1,1.5614017752,0.70581766
nac_ntrc__wt_csn__2,1.2685525101000001,0.722466445
nac_ntrc__wt_cytd__1,0.40754900790000004,0.25602124200000004
nac_ntrc__wt_cytd__2,0.5049197999,0.12034849700000001
nac_ntrc__wt_gln__1,1.0637266903,0.57113174
nac_ntrc__wt_gln__2,0.8380632276000001,0.6968090960000001
nac_ntrc__bw_delnac_csn__1,4.9542522162000004,0.9693647620000001
nac_ntrc__bw_delnac_csn__2,3.1034525055,0.539851195
