,yjjV
Cr_1,0.002183201184677153
Cr_2,0.009665247907765006
Cr_3,0.018480874093242082
Cr_4,0.02313310716579365
Cr_5,0.028647091350899594
Cr_6,0.035101222513917736
Fe_1,-0.007348267239531691
Fe_2,-0.009769323378179923
Fe_3,-0.014813180971394902
Fe_4,-0.015720195328776502
Fe_5,-0.007957026928968802
Fe_6,0.0006461559933625048
Cd_1,0.0017652873833462642
Cd_2,0.005885046001513528
Cd_3,0.013391163399967966
Cd_4,0.018583901150488698
Cd_5,0.018804708290904863
Cd_6,0.0258546129409789
Zn_1,-0.0007249249545277223
Zn_2,0.006772658708468759
Zn_3,0.0171062998403752
Zn_4,0.031004754786739405
Zn_5,0.044365491991648486
Zn_6,0.0521222854990375
Cu_1,0.0031690033748775826
Cu_2,0.01324057404767428
Cu_3,0.02438450816901537
Cu_4,0.033948979190456086
Cu_5,0.03686542770739206
Cu_6,0.04410703529092525
Pb_1,0.0051459178743028244
Pb_2,0.009329851391946274
Pb_3,0.019834737607823758
Pb_4,0.024910454329209537
Pb_5,0.03255816471034671
Pb_6,0.03823291563690469
