,glyQ
Cr_1,0.008379142367163674
Cr_2,0.015285915478318913
Cr_3,0.022080957990522367
Cr_4,0.02832121949775725
Cr_5,0.03408622464596405
Cr_6,0.034655804262624434
Fe_1,-0.0030764471938323195
Fe_2,-0.013859955920073677
Fe_3,-0.026278300126511202
Fe_4,-0.046411725173183926
Fe_5,-0.05561056702293039
Fe_6,-0.05865705669000785
Cd_1,0.0037078796616989
Cd_2,0.012527969163212029
Cd_3,0.020711441848231333
Cd_4,0.028590718818960612
Cd_5,0.032443275611426216
Cd_6,0.04171939259468401
Zn_1,-0.0038982585114137095
Zn_2,-0.0035950818969774467
Zn_3,0.010690267924934636
Zn_4,0.03530229522409211
Zn_5,0.05675690179162965
Zn_6,0.07828737384397069
Cu_1,0.006375675103551318
Cu_2,0.011797979588502877
Cu_3,0.020925422641950017
Cu_4,0.029600093752156206
Cu_5,0.0381062102875924
Cu_6,0.0543875947468977
Pb_1,0.008821160473376688
Pb_2,0.012752174231152106
Pb_3,0.01749411304482848
Pb_4,0.02609982548226375
Pb_5,0.03455554175929645
Pb_6,0.03753859792628552
