,A,ModE
R2,,0.01621044825902962
xmin,,-3.672757041
xmid,,1.3245773100756453
xmax,,2.0048202441
ystart,,0.11776487097443677
yend,,-4.12722725329097
SRX1125282,1.9411154388,-0.19527244740000002
SRX1125283,1.8399829093000002,-0.0190881024
SRX1125284,1.1649393928,-0.0787011807
SRX1125285,-0.2885969997,-0.19217444620000002
SRX1125286,-4.1409012989,-0.0929544295
SRX1125287,-4.8213409425,-0.4000322927
SRX1125288,3.3963997264,0.1314170619
SRX1125289,2.1543706779,0.1930681599
SRX1125290,0.8981923684,-0.1958810648
SRX1125291,-1.1579995913,0.007180845700000001
SRX1125292,-4.4051021348,-0.1378790664
SRX1125293,-5.3467410164,-0.14520770700000002
SRX1125294,-5.3375151651,0.0638553855
SRX1125295,-5.0154736375,0.10767132800000001
SRX1125296,-4.9024489607,-0.0383008545
SRX1125297,-5.1659459664,-0.17549691720000002
SRX1125298,-5.6774131158,-0.3846006793
SRX1125299,-6.0784147953,-0.1137904571
SRX5694250,1.5731105145000002,1.6407138802999999
SRX5694251,-2.3550535211,-0.1834307305
SRX5694252,0.7269707699,1.0368093005
SRX5694253,0.3938730044,0.4466123863
SRX5694254,-2.7401497012,-1.1064302953
SRX5694255,-1.4141787615,-1.3154789426
SRX5694256,-0.5608951588000001,0.3189045927
SRX5694257,-2.7164000886,0.7107483822
SRX5694258,1.7862306673,0.8212449496
SRX5694259,-1.3326650774,-0.44212642150000003
SRX5694260,1.4246998805,0.5174501937
SRX5694261,-1.5681635836,1.205025732
SRX5694262,-3.1041595847,1.3830830675
SRX5694263,-2.1377077568,0.0669395243
SRX5694264,-1.4750775708,0.4143947623
SRX5694265,2.6307384498,0.0487458556
SRX5694267,0.07261484210000001,0.6170879565
SRX5694268,-1.811974716,0.5124365186000001
SRX5694269,0.5389060478000001,0.4334017364
SRX5694271,-0.09525668670000001,0.6249738811000001
SRX5694273,-0.2938683856,-0.21809178610000002
SRX5694274,0.2185990261,0.3104199233
SRX5694275,-2.1173872295,0.1525881806
SRX5694276,-1.8345102013,0.174142402
SRX5694277,0.2868146578,0.5001228536
SRX5694278,-1.9937259403,0.32807338810000003
SRX5694279,-2.2969073595,0.5430489270000001
SRX5694280,-0.1914464851,0.1117949941
SRX5694281,-0.348711415,0.6883575902
SRX5694282,-4.7010746741,-0.1654834633
SRX5694283,0.7095027311000001,-0.1058796412
SRX5694284,0.9697324631,0.1326345823
SRX5694285,1.0361521992,0.20620982840000002
SRX5694286,-1.1311782321,0.1054862971
SRX5694287,-2.2302533478,0.8495601374
SRX5694288,-0.6026284156,0.150038526
SRX5694289,-1.3475051008,0.32954007700000004
SRX5694290,-1.8764616570000001,0.3095802274
SRX5694291,-0.2930865322,-1.6851507510000001
SRX5694292,-0.6699415233,0.8120301827
SRX5694293,0.2494447905,0.6291869136
SRX5694294,0.2123664708,0.7834977429000001
SRX5694295,0.2893884849,-0.31931813810000004
SRX5694296,0.5045603542,0.6714659299
SRX5694297,-0.6071327721,0.3412381087
SRX5694298,2.1863692754,0.26069538140000004
SRX5694299,2.1065874336,0.35760615970000004
SRX5694300,-0.8943184449,-0.1967167634
SRX5694301,-0.2517105435,0.875325931
SRX5694302,-1.3614598436,0.0888382409
SRX5694303,-1.1626202781,-0.0911288918
SRX5694304,-0.8360172001,-0.12013436370000001
SRX5694305,-1.9476107705,-0.5481340434
SRX5694306,1.3504253358,1.3284817804
SRX5694307,-2.6573199355,-0.5498760255
SRX5694308,0.9804033567,0.1081202426
SRX5694309,-1.2436933605,-0.6561122426
SRX5694310,-2.6193294329,-0.3407543255
SRX5694311,-0.8064816141000001,-0.6262902914
SRX5694312,-3.0065471236,1.3910286635
SRX5694313,-1.6621289747999999,-0.3168370293
SRX5694315,-0.0890185477,0.0539939969
SRX5694317,-3.0344920705,1.1873022037
SRX5694319,-1.4104505379,0.2552121249
SRX5694320,-0.724310023,-1.4623448344
SRX5694321,-2.330274922,0.09241705680000001
SRX5694322,-1.6183333882,1.3142550761
SRX5694323,-0.6199643771000001,-0.4226563909
SRX5694324,-3.3242860712,-0.1523690513
SRX5694325,0.7965440917000001,-0.2043677857
SRX5694326,-0.7842996553,0.1047414691
SRX5694327,-2.2613155554,-0.37707445040000004
SRX5694328,-1.3602897633,0.3384862028
SRX5694329,0.0670594436,0.31568849920000003
SRX5694330,-4.5116450194,1.6903802333
SRX5694331,-0.6496643919,0.5170240601
SRX5694332,-1.0716458377,0.08620028090000001
SRX5694334,-1.1486395806,0.0379090112
SRX5694335,-1.7809409951,-0.9211461547
SRX5694336,-1.9398228518,-0.674353543
