,intA
Cr_1,0.00580979831778089
Cr_2,0.010719210732432169
Cr_3,0.018803170965294762
Cr_4,0.029258087941657088
Cr_5,0.038909201948713716
Cr_6,0.047204583712748466
Fe_1,-0.001904571454559743
Fe_2,-0.035645479193922434
Fe_3,-0.06089441419161045
Fe_4,-0.08833600481366957
Fe_5,-0.1155828405968107
Fe_6,-0.1443792370593176
Cd_1,0.001515669434039132
Cd_2,0.0023805559081318327
Cd_3,0.003611517650963368
Cd_4,0.004243332165561322
Cd_5,0.003021283308899498
Cd_6,0.0063748815509890215
Zn_1,-0.006078877659151034
Zn_2,-0.002966706926705281
Zn_3,0.02757625328789834
Zn_4,0.06654509295502051
Zn_5,0.09476943738500836
Zn_6,0.12986108292025828
Cu_1,-0.0009962118468276214
Cu_2,0.006145311858621315
Cu_3,0.014656099431806784
Cu_4,0.021444292222522573
Cu_5,0.031813032666933735
Cu_6,0.043694905587213714
Pb_1,0.003035313125880461
Pb_2,0.030115031019032457
Pb_3,0.0527651520085023
Pb_4,0.07041690376300419
Pb_5,0.09236153957580837
Pb_6,0.11079929769718494
