,yoaF
Cr_1,-0.006939261862913233
Cr_2,-0.018548253538761675
Cr_3,-0.0075893985486139934
Cr_4,-0.004062614550064383
Cr_5,0.006255795424300339
Cr_6,0.016633327860346915
Fe_1,-0.033830455679764566
Fe_2,-0.07191775310079286
Fe_3,-0.126452327873424
Fe_4,-0.18288987757236855
Fe_5,-0.23212723137460736
Fe_6,-0.2763466371252704
Cd_1,-0.002741582537056313
Cd_2,-0.00038248684796795136
Cd_3,0.02266667838151161
Cd_4,0.02070071308588341
Cd_5,0.026151747384652042
Cd_6,0.051711305701623515
Zn_1,-0.001445450661160581
Zn_2,-0.0055812029959108715
Zn_3,-0.003726161893450865
Zn_4,0.01576009579736893
Zn_5,0.024935250193053562
Zn_6,0.04773585003013293
Cu_1,0.005289431843300124
Cu_2,0.009099267926121772
Cu_3,0.01371233589269717
Cu_4,0.010981094048672532
Cu_5,0.008248704580121577
Cu_6,0.016120064372175294
Pb_1,-0.01181302918620435
Pb_2,-0.0249279576471729
Pb_3,-0.038280334154104666
Pb_4,-0.04755862710122899
Pb_5,-0.05622008450020172
Pb_6,-0.060910035429028224
