,arpA
Cr_1,0.0053198889516782935
Cr_2,0.005888266341263313
Cr_3,0.015712813671496215
Cr_4,0.025624681326640152
Cr_5,0.030837399354865763
Cr_6,0.032668437840962725
Fe_1,-0.013846705243629112
Fe_2,-0.03611435704313433
Fe_3,-0.04840399781682271
Fe_4,-0.057818546043405625
Fe_5,-0.06631900962332099
Fe_6,-0.0671749705868354
Cd_1,0.022339983445487627
Cd_2,0.03718659755787778
Cd_3,0.04412135790595048
Cd_4,0.048765358654231705
Cd_5,0.04799285806559715
Cd_6,0.06403446521045478
Zn_1,0.017309892689871792
Zn_2,0.01798488324045217
Zn_3,0.032334855718486814
Zn_4,0.039363958710494265
Zn_5,0.049715775973141016
Zn_6,0.0668954963233554
Cu_1,0.00264521620708916
Cu_2,0.005570369401021123
Cu_3,0.015004382959825957
Cu_4,0.018020594491569508
Cu_5,0.020158291635460412
Cu_6,0.01669768362046361
Pb_1,0.006055902407053353
Pb_2,0.003028310911602557
Pb_3,0.001640938878409956
Pb_4,0.0029706448860003353
Pb_5,-0.0012970181421581401
Pb_6,-0.002907820299032825
