,A,PurR
R2,,0.10531792733486023
xmin,,0.8895091249
xmid,,7.558494633516525
xmax,,9.1145158769
ystart,,-10.622918818555561
yend,,-3.8878571824620067
control__wt_glc__1,-0.1341060523,8.8263502483
control__wt_glc__2,0.1341060523,8.7673900193
fur__wt_dpd__1,-14.5832506874,8.3174426946
fur__wt_dpd__2,-17.6957637946,8.1212140594
fur__wt_fe__1,1.3860306656999999,8.4997796768
fur__wt_fe__2,1.0488805773,8.4037071237
fur__delfur_dpd__1,-9.6845895247,8.3400357766
fur__delfur_dpd__2,-9.0704940768,8.3178348423
fur__delfur_fe2__1,-0.1900415886,8.4383640141
fur__delfur_fe2__2,0.0295028302,8.3453462716
acid__wt_ph5__1,-1.0663142593,8.5942709673
acid__wt_ph5__2,-1.3194116449,8.4997315995
acid__delgadx_ph5__1,-1.3275556324,8.5074641429
acid__delgadx_ph5__2,-1.0489703395,8.4209639256
acid__delgadw_ph5__1,-0.9944408457,8.3975274442
acid__delgadw_ph5__2,-0.8180393504,8.336347062
acid__delgade_ph5__1,-0.5469903925,8.5137363291
acid__delgade_ph5__2,-0.5858649879,8.5154746839
oxidative__wt_pq__1,-16.3963247588,7.6631597025
oxidative__wt_pq__2,-16.1210310533,7.6054643135
oxidative__deloxyr_pq__1,-13.1481669154,7.9994357644
oxidative__deloxyr_pq__2,-13.3773723336,8.0692683347
oxidative__delsoxr_pq__1,-14.0086610407,7.89543823
oxidative__delsoxr_pq__2,-13.4315395871,8.0009278677
oxidative__delsoxs_pq__1,-17.2361923054,7.2616858744
oxidative__delsoxs_pq__2,-17.1183653903,7.2227680434
nac_ntrc__wt_csn__1,-16.45613015,8.3653807198
nac_ntrc__wt_csn__2,-16.5670291487,8.4020738497
nac_ntrc__wt_cytd__1,-17.1194030064,8.4851746649
nac_ntrc__wt_cytd__2,-16.7810831583,8.4507393719
nac_ntrc__wt_gln__1,-13.8608622316,8.2889662315
nac_ntrc__wt_gln__2,-14.6091570573,8.2815053237
nac_ntrc__bw_delnac_csn__1,-17.60379621,8.1595353488
nac_ntrc__bw_delnac_csn__2,-16.305756464,8.3498656937
nac_ntrc__bw_delnac_cytd__1,-17.3453231405,8.5771654893
nac_ntrc__bw_delnac_cytd__2,-17.3784733013,8.482707209
nac_ntrc__bw_delnac_gln__1,-13.8891907525,8.3407577847
nac_ntrc__bw_delnac_gln__2,-14.3570602395,8.3341479391
nac_ntrc__bw_delnac_nh4__1,-2.5696723127,8.9530632783
nac_ntrc__bw_delnac_nh4__2,-2.2938700057,8.8746446162
misc__wt_no_te__1,-5.4640808331,8.4123149502
misc__wt_no_te__2,-1.7491766338999999,8.627272649
misc__bw_delcbl__1,-1.3806722215,8.6765583724
misc__bw_delcbl__2,-1.1289349609000001,8.6799601977
misc__bw_delfabr__1,-0.7011325556,8.6750537233
misc__bw_delfabr__2,-0.0760450678,8.7648553948
misc__bw_delfadr__1,-1.7808076022,8.7680927176
misc__bw_delfadr__2,-1.5030059611,8.7250996585
misc__nitr_031__1,0.6456759028,8.4218399444
omics__wt_glu__1,1.8819587775,8.1449780852
omics__wt_glu__2,1.2554509472,8.2220569172
omics__wt_gly__1,-0.276702817,8.6390904986
omics__wt_gly__2,-0.0336504365,8.6031870166
omics__wt_thr__1,-3.4941169633999998,7.206334707
omics__wt_thr__2,-3.2555830015,6.8991612396
omics__bw_ac__1,-3.4853597266,8.5221974341
omics__bw_ac__2,-4.3079648032,8.4696902721
omics__bw_fum__1,-1.7430247262,8.9348130917
omics__bw_fum__2,-1.6059806037,8.86343628
omics__bw_glc__1,-2.125308881,8.9322792955
omics__bw_glc__2,-2.0432960702,8.8586950132
omics__bw_pyr__1,-2.937914379,8.8243188867
omics__bw_pyr__2,-3.0594065474,8.7672381773
ompr__wt_nacl__1,-13.5243253357,7.4578174349
ompr__wt_nacl__2,-13.6304115596,7.4092363393
ompr__bw_delompr_nacl__1,-5.637878953,7.4649622075
ompr__bw_delompr_nacl__2,-5.7489391268,7.3067938143
minspan__wt_ade__1,-10.699774348,7.11993954
minspan__wt_glc__1,0.0179724148,8.3312893554
