,A,CsgD,RpoS,CpxR,FliZ,BtsR
R2,,0.5920002584784843,0.40968740860683783,0.09757007303867593,0.008185997190050087,0.003938803109445499
xmin,,-6.009046678000001,-2.4793139040000005,-8.11516967,-3.0662954585000004,-4.8343927655000005
xmid,,1.3160615511807168,1.0955980133653673,-1.4833596281202583,2.6683154368747344,-0.40862035841540334
xmax,,3.9896274372636498,3.139938211880993,1.489093840999999,7.1670466815,2.0558524395
ystart,,-0.6979144029545346,-1.0095718161018494,-2.046623892091928,0.29646814183596926,-0.13964861156930247
yend,,13.926415804612189,9.549885722504825,3.5998099873324096,-0.9895835300135791,1.0465783168381255
control__wt_glc__1,0.0112779878487415,0.17380059399999934,-0.049727751000000715,-0.016455943000000417,-0.12840505650000011,-0.030428714500000176
control__wt_glc__2,-0.0112779878487409,-0.17380059400000025,0.049727751000000715,0.01645594299999864,0.12840505650000011,0.030428714499999288
fur__wt_dpd__1,1.2548157230399364,1.503557970999999,1.6503265020000004,0.4836166070000001,1.0272767964999998,-0.8834644935000004
fur__wt_dpd__2,1.372712829751776,1.6066187659999978,1.6437026919999995,0.4819631480000002,1.0981969384999999,-0.9988224215000004
fur__wt_fe__1,-1.0650845747665123,-0.2479838170000006,-0.2294725589999995,-0.3482323360000006,-0.2973695505,-0.2289080135000008
fur__wt_fe__2,-0.8594979713236006,-0.42883168000000094,-0.2717253760000009,-0.4678698910000003,0.10511346150000024,-0.3180537375000005
fur__delfur_dpd__1,0.2494040361722347,1.4287346969999994,1.5271957219999999,0.4644351139999987,0.5904138854999998,-0.5710975955000004
fur__delfur_dpd__2,0.1704218007564564,1.4847580049999989,1.2385445819999994,0.4589973650000001,0.6879863725000002,-0.6268760275000007
fur__delfur_fe2__1,-0.9168316254807044,-0.13282348000000074,0.6013075319999999,-0.2057016049999998,0.6539038714999998,-0.12384482850000025
fur__delfur_fe2__2,-1.8092987317516327,-0.2645747669999992,0.6226109219999998,-0.1691045400000002,0.4289630795000003,-0.3873621985000009
acid__wt_ph5__1,-1.0667321015006983,0.3735967039999997,0.17730274899999898,-0.12207626600000054,0.2596557334999998,-0.0055871365000008675
acid__wt_ph5__2,-1.233560247328823,0.4124264169999989,0.18070148099999986,-0.09064453500000093,0.6502983585000002,-0.046485210500000214
acid__delgadx_ph5__2,-0.7485038245913844,-0.2306515150000008,0.041918445000000304,-0.03550277799999968,0.6585149755000002,0.029019229499999355
