,yieG
Cr_1,-0.004351610549584911
Cr_2,-0.007758967548479038
Cr_3,-0.004193716498122154
Cr_4,0.004009454084603183
Cr_5,0.009287515469303727
Cr_6,0.01135013502196383
Fe_1,-0.04477533501017582
Fe_2,-0.07740681948623165
Fe_3,-0.0752216363741182
Fe_4,-0.07039519418124593
Fe_5,-0.0649008352652757
Fe_6,-0.0759685491296052
Cd_1,0.0009308209416259717
Cd_2,0.00552003082757755
Cd_3,0.014780781536910415
Cd_4,0.016269947074793158
Cd_5,0.019493077192370523
Cd_6,0.024800757283862995
Zn_1,-0.014993463784438926
Zn_2,-0.009325531669672744
Zn_3,0.013124337422754895
Zn_4,0.014427394263331431
Zn_5,0.02613933829927764
Zn_6,0.04033832736929956
Cu_1,0.006724381947346421
Cu_2,0.01294501743700887
Cu_3,0.015913399252753768
Cu_4,0.030974384583292956
Cu_5,0.044688499655763006
Cu_6,0.06229153655923706
Pb_1,-0.0019924251210642558
Pb_2,0.008282401703275074
Pb_3,0.024669256460684377
Pb_4,0.03642971074650247
Pb_5,0.04540185399875877
Pb_6,0.061572287580269135
