,nfo
Cr_1,-0.005764871349586356
Cr_2,-0.006779861297520616
Cr_3,-0.007053386280273544
Cr_4,-0.014135589794727288
Cr_5,-0.01621689070579191
Cr_6,-0.018903717611831204
Fe_1,-0.009915905802752782
Fe_2,-0.028717811632724168
Fe_3,-0.04711717598095853
Fe_4,-0.07460720245731522
Fe_5,-0.09528747770791847
Fe_6,-0.10827005796423728
Cd_1,0.0036888402336999267
Cd_2,0.009550062395616891
Cd_3,0.015046638896041638
Cd_4,0.02065590510155554
Cd_5,0.0201853412288694
Cd_6,0.027790516856652896
Zn_1,-5.18998399032398e-05
Zn_2,0.00397819689602232
Zn_3,0.02762151433239979
Zn_4,0.056465787201899015
Zn_5,0.08071430634537102
Zn_6,0.09583273447227966
Cu_1,0.0030835140919558014
Cu_2,0.0011105236053249338
Cu_3,0.001794096014204689
Cu_4,0.004805850771745191
Cu_5,0.010180981945853316
Cu_6,0.01472688933048989
Pb_1,0.004007180749482781
Pb_2,0.000985794449044949
Pb_3,0.0034237584957455915
Pb_4,0.006045973242282609
Pb_5,0.006634436280635903
Pb_6,0.009781522881325229
