,aroH
Cr_1,3.0954802395763604e-05
Cr_2,-0.0014569605592088016
Cr_3,-0.006577525477861309
Cr_4,-0.012132033216412224
Cr_5,-0.01855147702049658
Cr_6,-0.027175204634742944
Fe_1,-0.01247252880332504
Fe_2,-0.030711862308135263
Fe_3,-0.04478624088054543
Fe_4,-0.0528007302939658
Fe_5,-0.049845279133132255
Fe_6,-0.045188760582933175
Cd_1,-0.003326345466559188
Cd_2,-0.007809821797155596
Cd_3,-0.011336114477885585
Cd_4,-0.017740832838518326
Cd_5,-0.03216391765127808
Cd_6,-0.04229699096173345
Zn_1,-0.0026491139451896013
Zn_2,0.003813284001949672
Zn_3,0.01839731531552996
Zn_4,0.0446495004208662
Zn_5,0.07685659170313905
Zn_6,0.09974853594176056
Cu_1,0.004314585489061693
Cu_2,0.007521809570280311
Cu_3,0.010958388173159124
Cu_4,0.0152335988196722
Cu_5,0.021893544822546032
Cu_6,0.03016482313799132
Pb_1,0.01382553359697278
Pb_2,0.023625479307414533
Pb_3,0.03102494699238544
Pb_4,0.04042265554738327
Pb_5,0.048906859677864636
Pb_6,0.06445701708834546
