,alsR
Cr_1,0.0022742363125089807
Cr_2,0.005342120060009743
Cr_3,0.0055327862537140615
Cr_4,0.0056778798248184395
Cr_5,0.008124685215192318
Cr_6,0.0103250081417184
Fe_1,-0.006376961334178008
Fe_2,-0.014434018747269448
Fe_3,-0.024532104987683725
Fe_4,-0.037078523758407415
Fe_5,-0.0451557462408729
Fe_6,-0.049980736978952
Cd_1,0.0050169439896966955
Cd_2,0.010369999066686154
Cd_3,0.011494511777195552
Cd_4,0.011449564838260493
Cd_5,0.008071177312157467
Cd_6,0.009353689947711696
Zn_1,-0.003274479264215005
Zn_2,0.002670381620600344
Zn_3,0.022185111357644637
Zn_4,0.042370555035885785
Zn_5,0.05767559267691449
Zn_6,0.06923267454364218
Cu_1,0.002989459582323732
Cu_2,0.007557522632292369
Cu_3,0.010825960883908876
Cu_4,0.010068513744328166
Cu_5,0.009803721082090018
Cu_6,0.012497478051638365
Pb_1,0.008508938007104774
Pb_2,0.018474681308533282
Pb_3,0.032932791754782136
Pb_4,0.046393615095789965
Pb_5,0.06194040477064865
Pb_6,0.07886189084627039
