locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS04230,0.3921674044158117,naiP,Saci_0886,MFS transporter,Carbohydrate transport and metabolism,Op468,,https://www.uniprot.org/uniprot/A0A0U3HAF2
SACI_RS10120,0.2685269553966115,xylE_2,Saci_2095,MFS transporter,Carbohydrate transport and metabolism,Op1248,,https://www.uniprot.org/uniprot/A0A0U3GM32
SACI_RS05005,-0.26293872845515137,Saci_1048,Saci_1048,DUF504 domain-containing protein,Function Unknown,Op552,,https://www.uniprot.org/uniprot/A0A0U3H296
SACI_RS05000,-0.2984556115364424,Saci_1047,Saci_1047,hypothetical protein,Function Unknown,Op551,,https://www.uniprot.org/uniprot/A0A0U3H1U4
