,phoP
Cr_1,-0.0014976460806715411
Cr_2,-0.004308206061368804
Cr_3,-0.0016454067452269573
Cr_4,0.0005221518629169223
Cr_5,0.0038317865821947037
Cr_6,0.0076470587392659575
Fe_1,-0.0035005308334425363
Fe_2,-0.012567202842240948
Fe_3,-0.027432995297046327
Fe_4,-0.04329815530601678
Fe_5,-0.0524644030420329
Fe_6,-0.0577325182275947
Cd_1,0.003314873657986795
Cd_2,0.006619702923262174
Cd_3,0.009721617300431544
Cd_4,0.01517729983494628
Cd_5,0.015501069224791832
Cd_6,0.020738951354931583
Zn_1,0.021041009380132314
Zn_2,0.04563692657523597
Zn_3,0.06388809511633012
Zn_4,0.0769237444120179
Zn_5,0.08482847330219921
Zn_6,0.07967250518471028
Cu_1,-0.010090381727522094
Cu_2,-0.019890985592823877
Cu_3,-0.026464209463751283
Cu_4,-0.029509262086291482
Cu_5,-0.029531869688442382
Cu_6,-0.029755999456051
Pb_1,0.005597337702768442
Pb_2,0.011542423125760605
Pb_3,0.01668674538130437
Pb_4,0.021215192232449543
Pb_5,0.024938193298018732
Pb_6,0.025336337821124447
