,gadB
Cr_1,-0.002110334410739134
Cr_2,-0.0017756936114984015
Cr_3,-0.0016112836159465516
Cr_4,-2.6559150252219637e-06
Cr_5,0.002411924464894
Cr_6,0.0027237231998123237
Fe_1,0.0060734370786226285
Fe_2,-0.005505247582569958
Fe_3,-0.022875701963371072
Fe_4,-0.04832986931535172
Fe_5,-0.06360321442153928
Fe_6,-0.0752450475125581
Cd_1,-0.002451472554394615
Cd_2,-0.005610583782161911
Cd_3,-0.007873290990597989
Cd_4,-0.010544860134865709
Cd_5,-0.012443036728205063
Cd_6,-0.01335106834546015
Zn_1,0.0022538215351708604
Zn_2,0.0021660947202727533
Zn_3,0.007832954260664736
Zn_4,0.011320365019872035
Zn_5,0.013111048414031198
Zn_6,0.017184405657582055
Cu_1,0.0015125172624544055
Cu_2,0.0022471812097473206
Cu_3,0.004170737010294372
Cu_4,0.004102089988956253
Cu_5,0.0038681515132574095
Cu_6,-0.0023126066645371983
Pb_1,0.004266616716818707
Pb_2,0.002074601023519761
Pb_3,0.004289104112082764
Pb_4,0.006212647399851589
Pb_5,0.004152549570578713
Pb_6,0.004047568112734402
