,menD
Cr_1,-0.01180590837875672
Cr_2,0.0011720324799918312
Cr_3,-0.02562656856746997
Cr_4,-0.02529215957220189
Cr_5,-0.01128357169852363
Cr_6,0.00736453626291703
Fe_1,-0.03189620619002219
Fe_2,-0.0867465373084549
Fe_3,-0.1371368809050721
Fe_4,-0.19440812209805147
Fe_5,-0.2414173412959266
Fe_6,-0.2261004702268728
Cd_1,0.019519037645732658
Cd_2,-0.006794831468219953
Cd_3,-0.032743379257556035
Cd_4,-0.016220138046858547
Cd_5,-0.009987974089158216
Cd_6,-0.0016971468658574724
Zn_1,-0.016550583329864147
Zn_2,-0.05782707419114155
Zn_3,-0.08715084840270279
Zn_4,-0.08808276530759594
Zn_5,-0.10927290922927467
Zn_6,-0.11954744813217365
Cu_1,0.011779136377674086
Cu_2,0.020640984919499828
Cu_3,0.0302499834815894
Cu_4,0.02937163725770055
Cu_5,0.0340248911455026
Cu_6,0.028781446527991125
Pb_1,-0.006835849903006577
Pb_2,-0.009409524126710093
Pb_3,-0.005030104720256115
Pb_4,0.0008813178041182707
Pb_5,0.008686810599237973
Pb_6,0.0027823418272624827
