,psiF
Cr_1,0.000562118138130008
Cr_2,0.012424740159914013
Cr_3,0.03714768859854205
Cr_4,0.06438289441157366
Cr_5,0.07442519809529542
Cr_6,0.06106088520779901
Fe_1,-0.0637426707020726
Fe_2,-0.1386683089885089
Fe_3,-0.1980767140826829
Fe_4,-0.29935051579265165
Fe_5,-0.16347690072489549
Fe_6,-0.21205114170059366
Cd_1,0.00022800040076863146
Cd_2,0.0002942399779638128
Cd_3,0.003088868147853556
Cd_4,0.004810344355654242
Cd_5,0.003922185041247015
Cd_6,0.0032825759056944554
Zn_1,-0.0016774484374580546
Zn_2,-0.002487356434234589
Zn_3,-0.006108764875166526
Zn_4,5.4310057057994736e-05
Zn_5,0.006857990369400911
Zn_6,0.013206096138475785
Cu_1,0.0028929453684173392
Cu_2,0.006474241872622221
Cu_3,0.01592054246948441
Cu_4,0.022813657811065625
Cu_5,0.024913423412431582
Cu_6,0.03270006938287163
Pb_1,0.003643478395892047
Pb_2,0.008392650320976837
Pb_3,0.020820692589448127
Pb_4,0.03591184176473192
Pb_5,0.051416831912705095
Pb_6,0.06432643125962831
