,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A
0,Chrom__sac_log,3.3551096695162754,1.914282733040991,2.0,0.0,4.708711971157878,1.0,2.001507367874673,,
1,Chrom__sac_sta,-0.03394354389701795,0.5172972486174892,2.0,2.0,-0.39972793628358794,3.0,0.33184084848955203,,
2,Chrom__sac_MW001,-6.938893903907228e-17,0.1323893250844531,2.0,4.0,-0.09361338952392716,5.0,0.09361338952392702,,
3,Chrom__sac_fadR,1.7511232524905007,0.8051820487096657,2.0,6.0,1.1817735657582191,7.0,2.3204729392227823,,
4,FadR__wt_p,-4.3021142204224816e-16,0.3151168914362372,2.0,8.0,0.222821290800988,9.0,-0.22282129080098886,,
5,FadR__ko_p,-0.23209898655789796,0.19800329351336315,2.0,10.0,-0.3721084580984674,11.0,-0.09208951501732852,,
6,GDGT__75_2.4_log,-5.625129991434126e-15,3.418717151280992,3.0,12.0,-0.4749105230476253,27.0,-3.1564321786820138,50.0,3.631342701729622
7,GDGT__80_3.5_stat,-0.46818492094905145,1.1596001776841403,3.0,13.0,0.7194846522103931,20.0,-1.5975132283378837,42.0,-0.5265261867196639
8,GDGT__80_2.4_log,1.9762208860603938,1.0480415308561317,3.0,14.0,1.192451933287764,37.0,3.1666482366253814,41.0,1.569562488268036
9,GDGT__75_3.5_stat,2.0173670423480528,2.4648119821976726,3.0,15.0,0.5128911049161436,24.0,0.677306699911531,28.0,4.861903322216484
10,GDGT__80_1.6_stat,-3.4328295541048686,1.7725675022005694,3.0,16.0,-5.454666179784795,17.0,-2.145998131478557,33.0,-2.6978243510512545
11,GDGT__75_2.4_stat,0.528112071683967,1.3754264553651077,3.0,18.0,-1.0511094138054389,26.0,1.1716318874526928,31.0,1.463813741404647
12,GDGT__80_2.4_stat,2.3699114913097494,2.2609977512268973,3.0,19.0,1.5813393414973709,29.0,4.919592264283627,30.0,0.6088028681482509
13,GDGT__80_1.6_log,2.4735477915958453,3.2583825219287337,2.0,21.0,4.7775721685513775,39.0,0.16952341464031334,,
14,GDGT__65_3.5_stat,1.0035498304905364,1.882460757188953,3.0,22.0,2.434857930411161,23.0,-1.1288527309151255,34.0,1.7046442919755738
15,GDGT__75_1.6_stat,-1.4421090848879536,0.5574196658721905,3.0,25.0,-2.0835133251412263,32.0,-1.0748544746033684,38.0,-1.1679594549192658
16,GDGT__75_1.6_log,2.9212107725828727,0.10913998448125468,2.0,35.0,2.9983843957081624,36.0,2.844037149457583,,
17,GDGT__65_2.4_stat,2.854183922824568,2.207137063079007,3.0,40.0,4.7654004464979005,46.0,0.4384754709510876,49.0,3.3586758510247146
18,GDGT__65_2.4_log,6.698934001309613,3.6878597501388635,3.0,43.0,10.948139884155928,44.0,4.3324704376626615,47.0,4.81619168211025
19,GDGT__80_3.5_log,1.409694732131605,0.9648455207345634,3.0,45.0,1.3713844689942396,51.0,2.3931247838788177,52.0,0.4645749435217578
20,GDGT__65_1.6_log,5.693806490957141,1.962375862121442,3.0,48.0,3.7038615079895383,53.0,5.7501585864296345,54.0,7.62739937845225
21,NutLim__t0,9.992007221626409e-16,1.6278917300966378,2.0,55.0,1.1510932813888344,56.0,-1.1510932813888324,,
22,NutLim__t05,-3.3977524160755457,1.8313032627393886,3.0,57.0,-4.9198937352181495,58.0,-1.3654673790135543,59.0,-3.907896133994932
23,NutLim__t1,-4.209989383781921,1.8843107127772416,3.0,60.0,-6.0528063289427365,61.0,-2.2867594988439035,62.0,-4.290402323559125
24,NutLim__t15,-5.939645394094664,0.151705748719389,3.0,63.0,-6.059523413767427,64.0,-5.990325458083787,65.0,-5.769087310432775
25,NutLim__t2,-6.705806774542787,1.693207994130467,3.0,66.0,-6.487481287235182,67.0,-5.132351380418074,68.0,-8.497587655975106
26,NutLim__t4,-13.871095791510953,5.069063416145998,2.0,69.0,-10.28672667568947,70.0,-17.455464907332434,,
27,UV_irr__wt0,-1.4062824978585316e-15,2.3107462350152272,3.0,71.0,-0.9954364966649256,72.0,2.641634710899891,73.0,-1.6461982142349698
28,UV_irr__wt1,-1.794755945927608,1.8151667167013636,3.0,74.0,-0.2604883725771739,75.0,-1.325221842890944,76.0,-3.7985576223147057
29,UV_irr__wt2,-0.43747145874579085,1.3228062369714835,3.0,77.0,-1.3048221788373937,78.0,-1.0926456690438868,79.0,1.085053471643908
30,UV_irr__mut0,2.6412383962948787,1.649969319496734,3.0,80.0,4.011501347550107,81.0,3.1024852781886803,82.0,0.8097285631458483
31,UV_irr__mut1,-5.141286284833949,4.8608958796290205,3.0,83.0,-0.3806004464379778,84.0,-4.946709493892139,85.0,-10.096548914171732
32,UV_irr__mut2,-1.7975151583286408,1.138388245355331,3.0,86.0,-3.1004975718491816,87.0,-1.296374939943336,88.0,-0.9956729631934048
33,YtrA__overexpr,1.3621363672456772,0.6503085647309541,3.0,89.0,0.6445089551963411,90.0,1.9124165258644301,91.0,1.5294836206762603
34,YtrA__wt,-2.0261570199409107e-15,1.6914020241880954,3.0,92.0,1.6660205281104652,93.0,-1.7156894285105186,94.0,0.04966890040004737
