,yaiM
Cr_1,0.004328884857188989
Cr_2,0.003001807625955845
Cr_3,0.012220340040943816
Cr_4,0.002733458580513119
Cr_5,0.0013415696034804938
Cr_6,-0.011481270498702234
Fe_1,-0.017903714745300562
Fe_2,-0.04652308492629748
Fe_3,-0.0653065679731683
Fe_4,-0.07089516665708043
Fe_5,-0.07171565240443545
Fe_6,-0.06174461195023785
Cd_1,0.001101387797490307
Cd_2,0.014994002416460853
Cd_3,0.02014412068799859
Cd_4,0.028476585801398526
Cd_5,0.03371147509643327
Cd_6,0.03286165212267162
Zn_1,-0.012245920432760557
Zn_2,-0.02633179271940545
Zn_3,-0.014241538369860038
Zn_4,-0.014266706143490215
Zn_5,-0.015396763336727131
Zn_6,0.02384197898121579
Cu_1,-0.0023800692330563627
Cu_2,0.002385659715104273
Cu_3,0.01670879238374019
Cu_4,0.01534686067094257
Cu_5,0.015100339744803203
Cu_6,0.015115890932429875
Pb_1,0.0023304299867001077
Pb_2,-0.004052309767459979
Pb_3,-0.0076735662299991
Pb_4,-0.016592466569981378
Pb_5,-0.005071148292723322
Pb_6,0.0069365817563393495
