,A,HutP
R2,,0.4715427752004322
xmin,,-3.4900666666666673
xmid,,1.1739320300925424
xmax,,4.203033333333332
ystart,,0.15399360224137126
yend,,30.76959146020055
LBexp_1,-2.882291689,-1.7842666666666673
LBexp_2,-6.3705020584,-0.8032666666666675
LBexp_3,-5.9734806741,-1.5928666666666675
LBtran_1,-3.0114624175,1.4222333333333328
LBtran_2,-5.3613389946,1.1739333333333324
LBtran_3,-5.5930736151,0.6756333333333338
LBstat_1,9.3784602245,1.2588333333333335
LBstat_2,10.7367265747,0.6979333333333333
LBstat_3,10.30981819,0.3193333333333328
LBGexp_1,-2.9866065805,-2.0563666666666673
LBGexp_2,-2.6818860521,-1.6375666666666664
LBGexp_3,-3.0314228763,-1.748166666666668
LBGtran_2,-8.686512731,-1.5283666666666669
LBGtran_3,-7.8775186929,-2.068666666666667
LBGstat_1,0.6259182734000001,-3.1599666666666675
LBGstat_2,0.0017076753,-3.4900666666666673
LBGstat_3,-5.9551819873,-2.7426666666666666
S0_1,-0.7977078453,2.374033333333333
S0_2,-2.1414686215,2.3027333333333324
S0_3,-1.1340188705,2.2226333333333326
S1_1,11.7989676518,3.1914333333333325
S1_2,13.3148005421,3.5030333333333328
S1_3,12.2405662708,3.3342333333333336
S2_1,7.6640038753,1.6473333333333322
S2_2,7.346323246,1.9150333333333336
S2_3,8.2521738726,1.7891333333333321
S3_1,6.1373869221,1.6839333333333322
S3_2,4.3220774141,2.159133333333333
S4_1,4.5400536957,2.035333333333332
S4_2,8.1820037795,1.8086333333333329
S4_3,6.3145952163,1.5855333333333324
S5_1,10.1750498474,1.9598333333333322
S5_2,13.9761767899,2.2569333333333326
S5_3,10.3421665664,2.319233333333333
S6_1,18.9412667871,1.3312333333333335
S6_2,41.914670807,1.3030333333333335
S6_3,15.4819209811,0.993033333333333
S6/t_1,17.130525404,0.7021333333333324
S6/t_2,37.7982152291,0.4726333333333326
S6_4,10.8269726372,0.9108333333333327
S6_5,12.0417646163,1.3899333333333335
S6_6,11.3628585034,1.4794333333333327
S7_4,12.6242697538,1.9666333333333323
S7_5,15.1529101964,1.8508333333333322
S7_6,11.5279390454,1.7348333333333326
S8_4,15.2020695574,1.6110333333333333
S8_5,29.3961780956,0.8555333333333337
G135_1,-2.7166299139,-3.059266666666667
G135_3,2.3218914331000002,-3.318766666666667
G150_1,-2.8789380113,-2.184166666666668
G150_2,-3.272636866,-2.8006666666666673
G150_3,-1.4369768387000001,-2.335466666666667
G180_1,-1.6948829902,-3.123266666666667
G180_2,-3.1892171247,-3.2133666666666674
G180_3,-0.9177036389000001,-3.2273666666666667
C30_1,3.0010934403,-1.3015666666666679
C30_2,2.5842792048,-0.705466666666668
C90_1,-5.7775476325,-1.3143666666666665
C90_2,-7.0667300219,-1.2751666666666672
BI_1,6.5079857204,0.5084333333333326
BI_2,5.7670365617,0.15993333333333304
BC_2,40.968849222,4.119033333333332
BC/t_1,38.9552329273,4.061733333333333
BC/t_2,34.7508106596,4.203033333333332
BC_1,40.5203864093,3.8477333333333323
Sw_1,36.1775681654,3.438133333333333
Sw_2,37.089590103,3.980433333333332
BT_1,-2.1682395218,-0.11886666666666734
BT_2,-2.041696524,-0.5788666666666664
B36_1,-12.8253086454,0.16963333333333352
B36_2,-12.5605897052,-0.3734666666666673
B60_1,-4.269342891,1.9112333333333336
B60_2,-6.6627771704,1.9569333333333336
M9exp_1,-0.7642913570000001,0.30623333333333314
M9exp_2,-0.1059024303,-0.21046666666666702
M9exp_3,0.8701937873000001,-0.09576666666666789
M9tran_1,2.036201281,0.4493333333333336
M9tran_2,2.4275289974,-0.11876666666666758
M9tran_3,1.1374941225,0.3406333333333329
M9stat_1,14.0908520807,2.2397333333333336
M9stat_2,14.9755138924,2.2489333333333335
M9stat_3,14.8512989274,2.143933333333333
M+G_1,3.8524947663,-0.7355666666666671
M+G_2,0.7119072681,0.2682333333333329
M+G_3,0.3411465915,0.26713333333333367
Glu_1,-0.8940507499,1.2606333333333328
Glu_2,-1.0455793675,1.2284333333333333
Glu_3,0.0445511205,1.2540333333333322
Fru_1,-1.8120281206,1.321533333333333
Fru_2,1.0167826196,1.4436333333333327
Fru_3,1.6759024069000001,0.8207333333333331
