locus,gene_weight,gene_name,gene_product,COG,operon,regulator,HutP,link
BSU39370,0.11372595199999999,hutI,imidazolone-5-propionate hydrolase,No COG category,hutP->hutM,"SigA,CodY,HutP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39370
BSU39360,0.11358378699999999,hutU,urocanase,No COG category,hutP->hutM,"SigA,CodY,HutP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39360
BSU39350,0.109210843,hutH,histidase,No COG category,hutP->hutM,"SigA,CodY,HutP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39350
BSU39380,0.10013909900000001,hutG,formiminoglutamate hydrolase,No COG category,hutP->hutM,"SigA,CodY,HutP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39380
new_4047463_4047537,0.10000135199999999,S1517,intergenic region,No COG category,,"SigA,CodY,HutP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4047463_4047537
BSU39390,0.093481862,hutM,histidine permease,No COG category,hutP->hutM,"SigA,CodY,HutP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU39390
