,-0.12524792640579732,-0.08349861760386489,-0.04174930880193245,-2.7755575615628914e-17,0.04174930880193242,0.08349861760386487,0.12524792640579727,0.16699723520772972,0.20874654400966217,0.2504958528115946,0.2922451616135271,0.3339944704154595,0.3757437792173919,0.4174930880193244,0.4592423968212568,0.5009917056231893,0.5427410144251217,0.5844903232270541,0.6262396320289866,0.667988940830919
thresh,-0.1043732720048311,0.1043732720048311,1,,,,,,,,,,,,,,,,,
unreg,1,4,150,3932,164,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0
unreg_genes,['ymjB'],[],[],[],[],[],['thrB' 'ilvC'],['borD'],[],[],[],[],[],[],[],['thrA'],[],[],[],[]
