,A,PuuR,RpoS
R2,,0.0814993255053188,0.04540983791727715
xmin,,-4.9419215794,-8.919357295
xmid,,,
xmax,,3.1047131755,4.1241387708
ystart,,-1.9436355238220475,2.452966820145736
yend,,0.9007449366216653,-1.6054677654631782
SRX1125282,0.6255047152000001,0.16172034030000002,0.12389400360000001
SRX1125283,-0.6625651479,-0.1552072764,0.0917269352
SRX1125284,-0.6237382889,0.1145119478,0.2668871882
SRX1125285,-0.3440225941,0.4143952326,0.6346371772
SRX1125286,0.8404418243,2.5433075701,0.7311205703
SRX1125287,0.6396182541000001,2.5227248915000002,0.047843636
SRX1125288,1.4449507401,-0.1874423339,-0.011411859
SRX1125289,1.7123394098,0.11144034480000001,0.1487334191
SRX1125290,-0.2079941149,0.1660206109,0.5719214457
SRX1125291,-0.1158571949,0.9694866467000001,0.7703039475
SRX1125292,1.490348679,2.8053711281,0.9491057834000001
SRX1125293,0.9806430948,2.7471404584,0.7949646441
SRX1125294,-2.0704554553,0.0257219936,-0.1124821446
SRX1125295,-0.7454607726,0.3918408446,0.0485519624
SRX1125296,-0.5990986693,0.1079618242,0.2451175693
SRX1125297,-0.2741831759,0.6403002209,0.5595453177
SRX1125298,1.4552344169,2.6882959683000003,1.0364768899
SRX1125299,1.5025123999,2.7400104632,0.7744984592
SRX5694250,0.4965021623,-1.6381166339000002,-0.6575883396000001
SRX5694251,-2.6611789044,0.0020527048,-0.41439528130000003
SRX5694252,2.8395540052,-1.7385524614999999,-1.5267586985000001
SRX5694253,-2.0905349229,-0.9598359904,0.013532579400000001
SRX5694254,-1.1980091033,0.0260023178,-0.4507050045
SRX5694255,-0.9697365454,-1.7162376284,-1.3699185348
SRX5694256,-0.2235098839,-0.8745851876,0.0290375594
SRX5694257,0.0413483989,-0.7024936392000001,-0.18024768900000002
SRX5694258,-1.7501599605,-1.2161881099,-0.34416743510000003
SRX5694259,-0.3121289511,2.2360125588,-0.4766743304
SRX5694260,-1.8523911036,0.1510245745,0.2482267076
SRX5694261,0.46737253780000004,-0.8697134003,0.022944085000000003
SRX5694262,-0.8236228494000001,-1.517977152,-1.1664088354
SRX5694263,-3.6695216542,-0.3385571196,0.2455560166
SRX5694264,-0.964321635,-0.8736182142000001,-0.7270261651000001
SRX5694265,-0.734073909,-1.337736092,0.1246632279
SRX5694267,-2.3950298084,-0.441915406,0.17891339180000002
SRX5694268,-3.3303568838,-0.8741869329,0.8690290136000001
SRX5694269,-1.6879674135,-0.1923881513,0.1019266675
SRX5694271,-1.8880666166000002,-0.3289378269,-0.159521414
SRX5694273,-0.1983716186,-0.1174129304,-0.7117395496000001
SRX5694274,-3.2892444572,-0.7852248609,0.2200444192
SRX5694275,-0.5372482387,-1.1016173183,-0.24488367700000002
SRX5694276,0.763654123,-0.438272814,-0.6076757834000001
SRX5694277,-4.155023361,-0.6604522806,0.4192586639
SRX5694278,-0.1714013043,-1.3032831997,0.3345453216
