,A,PuuR,RpoS
SRX5694279,-5.6850957114,0.0922766268,0.9291638342
SRX5694280,-0.1323504812,-1.4431249546,0.6945469896
SRX5694281,-1.8693784079,-0.8272069329,0.7728686116
SRX5694282,0.3724531414,1.5034051364,1.381880559
SRX5694283,-1.585487996,0.363892292,0.8471900986
SRX5694284,-1.0880684456,-0.7667618514000001,0.9445992575000001
SRX5694285,-0.106749169,-1.1271811259,-0.101510944
SRX5694286,-1.4323511733,-1.2376559611,-0.39254390580000004
SRX5694287,-1.8340964368,0.1669770171,1.6641543512
SRX5694288,-0.2545189577,-0.27161239670000004,-0.6444778476
SRX5694289,-3.784696486,-0.9787375755000001,-0.28779240840000003
SRX5694290,-0.9388207051,-0.5381482049,-0.6870264622000001
SRX5694291,-0.91812389,-1.112200897,-1.3007259393
SRX5694292,-1.7709181575000001,-1.0570475583,0.8062681238
SRX5694293,-1.6494754006,-0.7992131154000001,-0.4039469799
SRX5694294,-0.9570290109,-1.6111435034000001,-0.38068987460000003
SRX5694295,-0.8908204710000001,2.0532611991,1.1971556762
SRX5694296,-1.3062028634,-1.0948114918,-0.0579672664
SRX5694297,-3.4164585365,0.0326319889,-1.1718080658
SRX5694298,-2.5925242181,-1.4160781006,-0.0579887361
SRX5694299,-0.0053960335,-0.8540941750000001,-0.0090804595
SRX5694300,-2.0405856093,-1.1490208925,-0.2858089984
SRX5694301,-1.9055000922,-0.9391711577,0.7487499111
SRX5694302,-2.0741807236,-0.0988501967,-0.2880430808
SRX5694303,-2.6462790434,-0.484106399,-0.4022624342
SRX5694304,-1.1482853139,-0.8787266536,-0.102787711
SRX5694305,-0.2708500253,0.0065693859,-0.5464442224
SRX5694306,5.1625798355,-1.6843784459000002,-0.7664779575
SRX5694307,-0.11239754090000001,0.6932733266000001,0.9269590489
SRX5694308,-3.1037131775,-0.6596263021000001,0.0122038535
SRX5694309,1.3212391311,-0.6324177511,-0.9940082433
SRX5694310,-1.2025748855,0.3023189176,2.0411292587
SRX5694311,-0.3272718996,1.44225261,-0.3039589573
SRX5694312,-0.2724100007,-2.1627360945,-1.2338569192
SRX5694313,-3.7782892171,2.0877209812,1.5108161085
SRX5694315,-2.8066922559,-0.5049329934,0.0882130678
SRX5694317,-1.5314514174,0.5302933353,1.863543381
SRX5694319,-0.4619777986,-0.0963766482,-0.7670528724
SRX5694320,0.09474536480000001,-1.2698090769,-1.3988456439
SRX5694321,-0.7938320125,-1.0421703907,0.1389480637
SRX5694322,3.4066950724,2.2948323335,0.6382039402
SRX5694323,-2.375360225,-0.7756391997000001,0.6371311275
SRX5694324,0.4200223283,0.7598643859,0.5891552134
SRX5694325,-0.8927256488,-0.0840227191,1.1364192666
SRX5694326,0.0204922098,-1.21614004,-0.1227754323
SRX5694327,-2.7095102894,0.4370477056,1.842083342
SRX5694328,0.22559648070000002,-0.0175278442,-0.3056609431
SRX5694329,-2.8622595182,-0.5069727539000001,-0.36055310500000004
SRX5694330,4.2976398397,0.1365203432,-0.7452061929
SRX5694331,-2.3297436335,-0.8395520401000001,-0.19376253370000002
SRX5694332,0.9675531979,-0.0101128716,-0.1069060403
SRX5694334,-0.7970855646,-0.0718403378,0.1476735541
SRX5694335,-0.7965075771,1.4236411974,0.2184687528
SRX5694336,-0.076936847,-0.7809142469,-0.3321838082
SRX5694337,-4.3874679276,-1.9639870311,1.1410073011
SRX5694338,-3.6001255958,-0.8346437321,0.5042714405000001
SRX5694339,-1.2708919774,-0.1531134303,-0.7028224034
SRX5694340,0.9998340777,-2.0143117545,-0.3897788184
SRX5694341,1.9458403006,1.6367803954,0.6749000182
SRX5694342,-0.099973298,-0.0288156015,-1.0340379245
SRX5694343,-1.3262204968,0.1916384424,-0.5313228746
SRX5694344,-2.0504711463,-0.9546682317,-0.3395083618
SRX5694345,-1.2953339480000001,-0.7900866342,-0.0744392624
SRX5694346,1.3808426592,-0.6411237973,-0.17103448070000002
SRX5694347,-2.4471406346,-1.2574828785,-0.3425261498
SRX5694348,-2.0189772741,-0.8026783617000001,0.7875061899
SRX5694349,-3.0487798002,-0.4293402925,0.12003723670000001
SRX5694350,-0.5366619833,-0.5405825801,-0.7659405174
SRX5694351,-0.4151655743,0.7252370338,0.7263733076000001
SRX5694352,-1.9278520720999999,-0.7841084276,-0.6013224671
SRX5694353,-0.8125116382,-0.8891413177,-0.8785134040000001
SRX5694354,-0.8114744445000001,-1.3143784952,0.7901452873
SRX5694356,-1.843606013,-0.9102603571000001,-1.0691180943
SRX5694357,-1.1539037851,-0.3052035799,-1.224876475
SRX5694358,0.0051973167,0.1127414733,-0.8674783247000001
SRX5694359,-1.2653967049000001,-0.662889402,-0.5275191918000001
SRX5694360,-0.7337213034000001,-1.330743641,-0.5277439766
SRX5694361,4.0801569972,1.5008508236,0.5715646187
SRX5694362,-3.6718493433,-0.814009792,-0.4801473545
SRX5694363,0.26942592,-0.6948737749,-0.2058316979
SRX5694364,1.60450438,-0.36174022580000004,-0.4031858943
SRX5694365,0.31689331260000003,-2.2506810139,0.5258567861
SRX5694366,-1.1005008857,-0.6104902331000001,-1.0791491496
SRX5694367,-0.42263998740000003,0.3629029069,1.1625349641
SRX5694368,-1.1699035187,-0.5678971506,-0.3946522053
SRX5694369,-0.7741157384,-1.0477191022,0.0892968809
SRX5694370,-1.9108697783,0.5247834358,0.3895898545
SRX5694371,0.4001529515,-0.8271089901,-0.9798657269000001
SRX5694372,-0.2950237215,-1.0743102461,-0.3558929129
SRX5694373,-0.8837202403000001,0.22803188600000002,-0.3203433341
SRX5694374,-0.7516178173,-1.7987628418,-1.8907045999
SRX5694375,-3.1085040827,-1.2209019866,0.5235856839
SRX5694376,0.9032165043,-1.1257431133,-0.6960164566
SRX5694377,-3.6894882281,-0.6424180409,-1.5270626442
SRX5694378,-0.5643298293,-1.251569952,-0.4634139386
SRX5694379,0.6203102477,-2.3574447885,-0.5227460333
SRX5694380,1.4490044258,-0.3964250266,-0.6079369570000001
SRX5694381,-1.1363565377,1.0311717613,-0.5831907388
SRX5694382,-1.6086955523,-0.5333779658,-0.5897015176
SRX5694383,-2.6918987917,-1.5733719764,0.33302975900000004
SRX5694384,-1.7453094963,-0.53517536,-0.17128217310000002
SRX5694385,-2.5445654571,-2.3635767837,0.6983107852
SRX5694386,-1.9306797306,0.8739858538,-0.047770770600000005
SRX5694387,-0.9027629937,-0.5891479946,-0.7783978846
SRX5694388,0.9014866667,0.6883381035,0.5795485447000001
SRX5694389,0.8673223987,-1.5809623990000001,-0.4604892508
SRX5694390,-2.0987640417,-1.0498208402,0.5469985911
SRX5694391,-0.4135597885,0.3447557563,1.9391797668000001
SRX5694392,0.2180673914,-1.4377063083000001,-0.18206983540000002
SRX5694393,-1.250540568,-0.6741224570000001,-0.2625622673
SRX5694394,-1.9417457696,-0.5732130225000001,0.6362886964000001
SRX5694395,1.4310601069,-0.4598007082,-0.24292153970000002
SRX5694396,-0.6767003764,0.2837097051,0.6048608691
SRX5694397,-3.1580978394,-0.16561811710000002,0.7306458363
SRX5694398,-2.5438259494,-0.4928057856,0.47634399800000005
SRX5694399,-1.9239221568,-1.1472896604,-0.3464694589
SRX5694400,-0.6957366481,-1.1867191547,-0.2505482308
SRX5694401,-0.1861004628,-0.6569688121,0.6124656474
SRX5694402,-0.783687219,0.8422206754,-0.0719270178
SRX5694403,0.8474773378,-0.2906957559,0.6540059885
SRX5694404,-3.1462850824,-0.5424977559,0.4711092564
SRX5694405,-1.1964099303,-0.3955589485,-0.5450956153000001
SRX5694406,-1.4391869729,-0.48239300360000004,0.2452439907
SRX5694407,-0.8261193723,-1.2700364616,-0.1035126536
SRX5694408,-1.117941211,-1.1961725937,-0.009095269900000001
SRX5694409,-1.1630646663,2.9303299534000002,1.087692968
SRX5694410,-2.5048144828,-0.435331004,-0.3560818886
SRX5694411,0.0623503855,2.0834715699,1.7535099344
SRX5694412,-5.9822048312,-1.1890215908,0.5170498195000001
SRX5694413,-1.6785761663,-0.7100345229,-1.0193472069
SRX5694414,-0.2168791024,0.7492237586,-0.523282682
SRX5694415,-3.0509777895,-0.7858969384000001,0.43947406520000004
SRX5694416,-0.1859879141,0.19435296670000002,0.0446724711
SRX5694417,-0.5900302622,-0.4428551573,-0.2893820741
SRX5694418,1.9059002997,-0.0763862146,-0.2117878394
SRX5694419,-0.3804201245,-0.7093482735000001,-0.3179564891
SRX5694420,0.1263989441,-1.0652198342,0.08899595980000001
SRX5694421,-0.3029199341,-1.151134751,0.028312995400000002
SRX5694422,-2.7673504263,-0.4725043729,1.3392921219
SRX5694423,-0.4096711517,-1.2131421674,-0.9200105722
SRX5694424,-3.1855552706,-0.0854612955,1.5403945842
SRX5694425,-3.5962312519,-0.8900678206,0.5704792652
SRX5694426,0.2912212364,0.6390395987,0.1799193872
SRX5694427,-1.0303159512,-0.9088551203,0.4667043355
SRX5694428,-1.1082194147,-0.9010582679,0.20339786340000002
SRX5694429,0.0085323705,2.2892151508,1.7636918297
SRX5694430,-1.6015091886000001,-0.7438833757000001,0.3315411609
SRX5694431,-0.9264195658000001,-0.928318603,-0.35813353740000003
SRX5694432,-2.3017234914999998,-1.6736642893,-0.36327625890000004
SRX5694433,0.8972445934000001,0.4328014552,-0.9242360812
SRX5694434,-0.1376329159,0.32825343100000004,1.1244853324
SRX5694435,-1.1651985823,-0.1042643669,0.2482560155
SRX5694436,-0.50791128,3.1047131755,0.6052921899
SRX5694437,2.2306841941,1.4415741921,1.6927350389
SRX5694438,-2.35132767,-0.9850348642000001,0.4568848408
SRX5694439,-1.7140099768,-0.4580588666,-0.9789359647
SRX5694440,-0.5923544882,-0.47618334640000004,-0.16993395320000002
SRX5694441,-1.1341920027,-0.0787608738,-0.30292878300000003
SRX5694442,1.133400853,0.7444916073000001,0.5264198142000001
SRX5694443,-2.0832115465,-0.7427633855,0.2397725474
SRX5694444,-2.1620346683,-1.5380263446,0.5519567652
SRX5694445,0.6962982713,-0.4833211475,-0.2960727922
SRX5694446,-0.4111615648,-1.3209081678,-0.9535799394000001
SRX5694447,-1.9236006331,-1.5160205934,0.1879820745
SRX5694448,5.7154122934,0.4534574525,-0.33462678430000004
SRX5694449,-1.0469377657,-0.8610529231,0.4853458886
SRX5694450,0.6516739481,-0.5639690580000001,-1.5466922668
SRX5694451,-3.7401951634,-1.1875551945,0.3364849925
SRX5694452,-1.0774916246,-0.0751871365,0.5538937326
SRX5694453,1.6218736754,-0.38430118690000004,-0.9333736147
SRX5694454,-1.8403502524,-0.8930639665000001,-0.43851679990000003
SRX5694455,-0.3797789479,-1.168103186,-0.6122638961
SRX5694456,-2.684738237,-0.4421205049,0.0192414513
SRX5694457,-0.42041283490000003,-0.0781008696,-0.4865215724
SRX5694459,0.6026185036,-1.0313517946,-0.7272492188
SRX5694460,-0.1552320498,0.1509224879,-0.1476290305
SRX5694461,-1.4121708658,-1.2062381420000001,-0.46360405250000003
SRX5694462,-0.3491991652,-1.0400237182,0.4989539183
SRX5694463,-1.4323986098,-0.5295415194,0.3705406573
SRX5694464,-0.20843697800000002,-0.9414195040000001,-0.1438542033
SRX5694465,-0.7891946948,-1.0577674762,-0.5194117031000001
SRX5694466,-1.2861749104,0.6592505709,2.0305828611
SRX5694467,-1.4249656627,-0.7693854417,-0.4654391383
SRX5694468,-0.5538904109,-1.2176827896,-1.4261023225
SRX5694469,-1.0036807404,-0.7115822526000001,0.3766098639
SRX5694470,0.2176905116,-0.0944460845,-0.1364564022
SRX5694471,-3.2683323311,-1.1921822854,0.1286029695
SRX5694472,0.7058827915,0.3346115031,-0.0696890087
SRX5694474,-3.3638426715,-1.0846962417000001,0.9030849996
SRX5694475,-3.4168661717,-1.4233978619,0.38838182590000003
SRX5694476,-0.7579405281,-0.5558521258,-0.0550770701
SRX5694477,-1.4386835308,-0.6648210352,-0.6307641964
SRX5694478,-0.4265782986,-1.3365548147,-0.2597921773
SRX5694479,-1.1373014246,1.4218748294,-0.1763272148
SRX5694480,-1.8907745398,0.3790653831,-0.1529290586
SRX5694481,-1.3438737,-1.6558022752000001,0.2706568916
SRX5694482,-1.2374210874,-0.9214426053,-0.8203963424
SRX5694483,-0.9036858687,-1.5313731645000002,0.1585795959
SRX5694484,-3.5224563693,-0.7591710216,-0.1142251222
SRX5694485,-1.0752070911,-0.08088804570000001,1.8143817081
SRX5694486,-1.5816330244999999,-0.9669650974,-0.4731728442
SRX5694487,-2.3227780082000002,-0.6884068657,0.0620097399
SRX5694488,-2.9828227363,-0.2848545048,0.3949410132
SRX5694489,-1.2337502034,0.3992822015,0.3263541776
SRX5694491,-0.5342283714,-0.26651390550000004,-0.7083059624
SRX5694492,-0.4504527473,-0.9613132356,-0.851641096
SRX5694493,1.0570627599,1.8137936455,1.4811790611
SRX5694494,-2.3459560289,-0.5465091762000001,1.1931153627
SRX5694495,-0.4338298511,-0.0634998549,0.223645429
SRX5694496,-1.593686723,-0.7146465865,-0.5212448198
SRX5694497,-2.5481261228000003,-0.5273740234000001,1.0658264478
SRX5694498,-1.533906101,-1.0690182449,0.2623274617
SRX5694499,1.7116830707,-0.9679592672,-0.8602627439
SRX5694500,-0.9843868943,-1.8346034434,0.6492284850000001
SRX5694501,-1.9687491976,-0.9985097524000001,-0.0872275571
SRX5694502,-4.4075623048,-4.9419215794,-1.6278754941
SRX5694503,1.5533027948,-0.49088038780000004,0.5569903872
SRX5694504,-2.1242280683,-0.999402989,-0.5821665425
SRX5694505,0.0058596011,2.181518943,-0.5569867189000001
SRX5694506,4.3709663787,1.1440360022,-0.8658739125
SRX5694507,-1.2630282655,-0.7615950008,-0.5061400461000001
SRX5694508,-0.6234742980000001,0.5174569131,-0.007558000600000001
SRX5694509,-2.5113759198,0.3712591035,1.1837010027
SRX5694510,-0.7889471817,-0.6914450195,0.3684639705
SRX5694511,-2.604564727,-0.9654363105,0.7162084194
SRX5694512,-0.2268321114,-0.19710235550000002,-0.7495037573000001
SRX5694513,-2.1701767766,-0.2900564791,-0.2520943269
SRX5694514,-0.8659159079000001,0.2860542649,-0.1303226102
SRX5694515,-0.1805434816,-0.9741471285000001,1.2895415137000001
SRX5694516,-2.480113424,-0.6641001836,-1.0265109875
SRX5694517,-3.1037282433,-0.3810777939,-0.0724954515
SRX5694518,-1.3019240089,-0.9987831015,0.0047803766000000004
SRX5694519,0.8559846672,-1.7728652547000001,-0.26600968140000003
SRX5694520,4.4761791205,-0.7222179024000001,-0.7475409037
SRX5694521,-2.9805297727,-0.8692837573000001,-0.21861527020000002
SRX5694522,-3.2538215928,-0.9610905486,0.5629342945
SRX5694523,-4.9076437739,-1.3386135465,0.21570166240000002
SRX5694524,-3.0303810631,0.16257238670000002,0.062023590600000005
SRX5694525,-0.8859191348000001,-0.434664351,-0.42882891900000003
SRX5694526,-1.2127757532,-1.1101338118,-0.7689727486
SRX5694527,-1.272597626,-2.0425965721,0.7309834126
SRX5694528,-1.1230054584,1.2368490478,-0.1501726563
SRX5694529,-0.0717211629,-0.8568423331,0.5169160205000001
SRX5694530,-2.7751067364,-0.28359726300000004,-0.6836513344
SRX5694532,-1.0073527754,-0.07762981790000001,0.6793260160000001
SRX5694533,0.2212239453,-1.2356520977,0.7371031941
SRX5694534,0.3901962977,2.4637558364,1.9744757876999999
SRX5694535,-3.4813771288,0.29076769890000004,-0.7213432398
SRX5694536,-2.6795714225,-0.688824886,0.6477702467
SRX5694537,-1.5639621069,-0.5534774906000001,0.020042852400000002
SRX5694538,-2.2236283026,-0.1952056003,0.48593594510000004
SRX5694539,-0.4174876343,-1.5867601850000002,-0.39806902200000005
SRX5694540,0.08126353700000001,-0.4081552893,0.4775086602
SRX5694541,-2.7020756415,-1.2439119676,-0.2237540542
SRX5694543,-1.1392382521,-0.9351745021000001,-1.2433446982
SRX5694544,-0.6789891140000001,-1.0599611714,-0.09469580500000001
SRX5694545,-2.0159343154,-1.2960275996,0.3882651955
SRX5694546,-6.7738708677,-0.6835241348000001,-1.0093608602
SRX5694547,-0.8534838974000001,-0.5922049131,0.4493025752
SRX5694548,-0.0317025975,-0.0999068821,0.091783931
SRX5694550,-0.7012842092,-0.5618711728,0.062013330500000005
SRX5694551,-0.2422585719,-0.8677174706,-0.9358932155
SRX5694552,-2.775427777,-1.3390245077,-0.4164593802
SRX5694553,-0.9257574957,-0.47480810440000004,-0.0044865156
SRX5694554,-2.4054085514,-0.8194947663000001,-0.0383475161
SRX5694555,-1.4669675770000001,-0.8701734382,-0.7369655924
SRX6072760,0.6002146139,1.2075875093,0.41317827430000004
SRX6072761,-0.7233338916000001,-0.1776128147,0.604767283
SRX6072762,1.2069432003,1.8209692279,0.7448858374
SRX6072763,-0.7629425142,1.5740655112000002,1.4155093927
SRX6072764,-0.7550393979000001,0.24918002390000002,-0.2457375582
SRX6072765,-0.22735119580000002,1.4312269984000001,1.3219007904
SRX6376491,-0.0763217913,-0.5526213034,-0.6830534858
SRX6376492,0.9348230603000001,0.7574947618000001,-0.6785606825
SRX6376493,0.7666268848000001,0.7463856038000001,-0.4696651093
SRX6376494,1.6549358600000001,1.4146425935,-0.46349901590000003
SRX6376495,-0.27882412770000004,-0.6832855964,-0.3385525806
SRX6376496,-1.3094963259,-1.0606036368,-0.6918979069
SRX2723951,-0.6707080630000001,0.9560574046,1.3115418012
SRX2723952,-0.4787460665,1.6907973054,2.719049273
SRX2723953,-0.4092669856,0.6528854038,1.9266550545
SRX2723954,-2.652555151,2.5060478777,2.7159852568
SRX2723955,-0.6793555645,0.8348256317,0.8854595021
SRX2723956,-0.19135005730000001,1.2689173784,1.3716701738000001
SRX2723957,0.29826927810000003,0.3556748516,-0.0180868505
SRX2723958,-0.1475817827,-0.053544810400000004,0.8312034412
SRX2723959,0.0663546483,0.1837588779,-0.0430751967
SRX2723960,-0.5875188233,0.5840479811,1.8905631967
SRX2723961,-2.274450062,2.0192337401,3.0586390134
SRX2723962,-0.1460278432,0.6239594653,1.1510770369
SRX2723963,0.7808641671000001,0.2874152077,0.09465619600000001
SRX2723964,-1.0085683081,0.5110951956,1.3046074190999999
SRX2723965,-0.3327342253,0.6151314899,0.7440262712
SRX2723966,-0.5158658039,-0.2507885787,0.5336637103
SRX2723967,0.22132230760000002,0.0876284344,-0.3890912637
SRX2723968,0.2945434963,0.1631601442,-0.14457244660000002
SRX6977206,1.3252545986,-0.603978195,-1.4457715828
SRX6977207,1.2846302415,-0.3367551837,-1.5601079896
SRX6977208,-0.01151573,-0.0550916617,0.810740581
SRX6977209,0.8577009972,0.3361784976,0.8647603072000001
SRX6977210,0.9231992168,0.327321268,0.9669022083000001
SRX6977211,0.6195105128,-0.1723896494,-0.4381731909
SRX6977212,-0.110395663,0.1482369872,0.130608776
SRX6977213,-0.5091148498,0.0241526622,0.3075644149
SRX6977214,2.6386265507999997,-0.6612422371000001,-1.4681930284
SRX1153733,-0.4117136159,-0.206295364,-0.1546157778
SRX1153734,0.4117136159,0.206295364,0.1546157778
SRX1153735,-0.1530153991,-0.12192033340000001,-0.6446691254
SRX1153736,0.35864516760000004,-0.2197247863,-0.4501057755
SRX5204053,1.2397282767,0.5991663905,0.1059205538
SRX5204054,1.5784052776,-0.0653499228,1.3829855504
SRX5204055,0.7824101329,0.4969075094,0.4041661848
SRX5204056,-0.09221292290000001,-0.6160483368,0.30663911790000004
SRX5204057,-0.2607668067,-0.7718330532000001,0.31144163620000004
SRX5204058,-0.09802205230000001,-0.7453458378000001,0.3127912652
SRX5204059,-0.1929160058,-0.0250551291,0.1760007295
SRX5204060,-0.8655058376,-0.1835167371,0.454210979
SRX5204061,0.0899485391,0.7963780913,0.6235460537
SRX5204062,-0.2101034457,-0.136284852,0.1208037019
SRX5204063,-0.037581268800000005,0.0652995472,0.4877615953
SRX5204064,0.6695238648,-0.5991746054,0.5163905927
SRX5204065,-1.5268105106,-0.4650961092,0.6884772919000001
SRX5204066,-0.2081029104,-0.5796068522,0.7122389416
SRX5204067,-0.5205080399,-0.4523607268,0.6396841639
SRX5204068,-1.0002167747,-0.8294362653,-0.1261035513
SRX5204069,0.0241563736,-0.8175795331,0.38388275310000003
SRX5204070,-0.6107853925,-1.0459036256,0.2827863503
SRX5204071,0.028467616900000003,-0.5810997784,0.7819781372
SRX5204072,0.6356603375000001,-0.6722547837,0.6750482209
SRX5204073,0.9701183090000001,-0.7572427774,0.8001322815
SRX5204074,0.7206048903000001,-0.5692481241,0.787458333
SRX5204075,1.0028484016,-0.2959233162,0.2597792446
SRX5204076,0.5857399038000001,-1.4125007284,0.8436964682
SRX5204077,0.2204878721,-0.49946215120000004,0.5144514775
SRX5204078,-0.40586276530000004,-0.9831963131,0.6103281862000001
SRX5204079,0.0403073953,-0.5586921578,0.5001794788
SRX5204080,-0.0063947852,-0.3098808353,1.2035249776999999
SRX5204081,0.47681236790000003,-0.6014129857,1.2661395327
SRX5204082,0.0251536569,-0.6086519027,1.16465461
SRX5204083,-0.3189641338,-0.042695668900000004,0.3070321777
SRX5204084,-0.5754418174,-0.16629626520000002,0.3451877582
SRX5204085,0.2831080758,0.0202866404,0.3989484895
SRX5204086,1.0232016829,-0.6633259991,-0.3712610376
SRX5204087,0.7784348432,-0.4477079534,0.0945027819
SRX5204088,0.5984505831,-0.7674941183,-0.3559708344
SRX5204089,0.17582915130000001,0.3780200998,0.1728373939
SRX5204090,0.1450457784,0.2870013469,0.3912909238
SRX5204091,-0.8962638508,0.6553571802,0.2723628656
SRX5204092,0.1978401534,0.7549972913,0.0722377781
SRX5204093,-0.7833300129,0.6937728241000001,0.1366100778
SRX5204094,-0.6652112973000001,0.4455767409,0.46169277950000004
SRX5204095,-0.134792884,0.1830591839,0.17100117450000002
SRX5204096,0.06640472110000001,-0.15096285210000002,-0.3040600283
SRX5204097,0.06838816290000001,-0.0320963318,0.13305885380000002
SRX683459,1.4948632362,-0.2347110697,-0.1036135371
SRX683460,-2.6424106868,-0.5621255442,1.8095372007
SRX683461,-1.9051517105,-0.1613416815,-0.3329100937
SRX683462,-4.8274158866,-0.8029196369,1.576321233
SRX683463,0.41028847430000004,0.3960527513,0.4365236308
SRX683464,-3.2440416382,0.0700528074,1.7365836246000002
SRX683465,0.7546578536,-0.0847662346,-0.7739175568000001
SRX683466,-0.6826545826,-1.224316538,0.5272466452
SRX683467,-0.2295441959,-0.1489708307,-0.7396419659
SRX683468,-2.2116950754,-0.0134143848,0.5665940065
SRX683469,-0.0905279716,-0.1109165971,-0.27680535
SRX683470,-1.3923147051,-0.39685740210000003,0.6392348118
SRX322077,-0.15739635370000002,0.49813071700000006,0.1685960022
SRX322078,-4.1781171019,0.2983850894,-0.1299500352
SRX322079,0.3637344549,0.34928657900000004,-0.1740936811
SRX322080,1.8708399880000002,0.4362793787,0.016899559
SRX322081,-0.9552614653,0.6690938857000001,-0.023671544500000002
SRX322082,0.5547749351,0.27384379810000004,0.050678763
SRX322083,-4.2059726048,0.0620781221,-0.1300246802
SRX322084,3.6434643474,-0.363648079,0.1115131822
SRX322085,0.5625082574,0.3015699569,0.018511498
SRX2708592,-1.5503875516,1.4181545470999999,-0.7990890634000001
SRX2708593,3.1566881173,2.1619345337,-0.5456499056
SRX2708594,-2.0832950297,1.1290127289,0.1931737134
SRX2708595,-0.8085243657000001,0.29104828520000003,-0.062391286000000004
SRX2708596,-1.0578275443,-0.42347226060000004,0.09866804700000001
SRX2708597,1.8663519101000001,0.1324239754,-0.036276761000000005
SRX2708598,-1.5700138131,0.0914912425,-1.1324579805
SRX2708600,-1.6674987799,-0.12381604300000001,-0.5716598474
SRX2708601,-0.5236160755,-0.5469683091,-0.5384028595
SRX2708602,-0.8992996023000001,0.204334928,-0.0165785062
SRX2708603,-0.8393441223,-0.0731818816,-0.0691198381
SRX3073814,0.0703900674,-0.1383732533,0.3844655105
SRX3073815,-0.3305462791,-0.5161034176,-0.8757333977
SRX3073816,-2.2409000691,-1.2376147714,-0.5311502529000001
SRX3073817,-2.2309767202,-1.7381801579,-0.5721218595
SRX3073818,-0.3028698754,-1.4440618244,-1.2941337247
SRX3073819,-1.9705937122,0.4308071096,-0.06365320990000001
SRX3073820,-2.1084861949,-0.127026415,0.1795351437
SRX3073821,-3.8286265498,-0.1521791664,1.0981206411
SRX3073822,-1.7332935676,-0.7451031846,0.3371587079
SRX3073823,-4.1419023985,-0.3311046013,0.1848873779
SRX3073824,-0.0703900674,0.1383732533,-0.3844655105
SRX3073825,-0.2541394363,0.1418781899,0.3142790124
SRX3073826,-2.7874738251,-0.7708668096,0.44154563750000003
SRX3073827,-1.9269271564000001,-1.5794575157000001,0.2787898697
SRX3073828,-2.2487018195,-1.4249336814,-0.8792811828
SRX3073829,-0.6926179397000001,0.5924527299,-0.24691737160000002
SRX3073830,-1.3907737676,0.3781625136,0.7670260286
SRX3073831,-3.4309012975,-0.6230665578,0.2563131363
SRX3073832,-2.6027967354,-0.9113577567000001,0.59706098
