,ybjQ
Cr_1,0.0010606432190091704
Cr_2,0.0026664223067559122
Cr_3,0.007237706712311129
Cr_4,0.012505791628006418
Cr_5,0.01856236082670061
Cr_6,0.02508044952851409
Fe_1,-0.00402206542162189
Fe_2,-0.021911300014105118
Fe_3,-0.0446605142157511
Fe_4,-0.0649546634527881
Fe_5,-0.0829499510447196
Fe_6,-0.09006771470414984
Cd_1,0.00038804627414627417
Cd_2,0.0005572630037184191
Cd_3,0.0011613734832765313
Cd_4,0.00222107633975678
Cd_5,-0.0014729407778252136
Cd_6,0.0006868175690484117
Zn_1,-0.002966789936712252
Zn_2,-0.004846370534107256
Zn_3,-0.008253358118400084
Zn_4,-0.00853371507761318
Zn_5,-0.00853843095793335
Zn_6,-0.004132674393981807
Cu_1,0.004257285508547593
Cu_2,0.007644990235135187
Cu_3,0.010509065794138758
Cu_4,0.015450311068368075
Cu_5,0.02108317100155485
Cu_6,0.023719739520894668
Pb_1,0.0032933335260235
Pb_2,0.011024363791994956
Pb_3,0.01938637794739221
Pb_4,0.027523757006569567
Pb_5,0.045361431445649865
Pb_6,0.06082809159238078
