,rpsP
Cr_1,0.0030058103023428468
Cr_2,0.0044354049238637715
Cr_3,0.005378814218766886
Cr_4,0.01315885713969596
Cr_5,0.021684214660733246
Cr_6,0.02703722968088745
Fe_1,-0.001835440247258489
Fe_2,-0.008244273162329467
Fe_3,-0.016599579935649245
Fe_4,-0.027183825769830125
Fe_5,-0.035676159926741065
Fe_6,-0.03990963541668192
Cd_1,0.004661046126210746
Cd_2,0.010114238106209737
Cd_3,0.012703844930716569
Cd_4,0.015810452466684787
Cd_5,0.0181374136207457
Cd_6,0.023923407218351487
Zn_1,0.000530415753978359
Zn_2,-0.0035265245319040447
Zn_3,-0.008702158151746698
Zn_4,-0.015616009095367485
Zn_5,-0.0203817676715713
Zn_6,-0.024407510699944474
Cu_1,0.0017751040320609023
Cu_2,0.004912080317969911
Cu_3,0.0070585421765115295
Cu_4,0.003927258649667415
Cu_5,0.00015224648396636864
Cu_6,0.0005473070570378316
Pb_1,0.0012362225591191186
Pb_2,0.002826043710784941
Pb_3,0.0030549924421853425
Pb_4,0.005411906777673176
Pb_5,0.007317585160193735
Pb_6,0.008165363261872175
