,nrfA
Cr_1,0.0011146085344932713
Cr_2,-0.002696849694489629
Cr_3,-0.007259044146573252
Cr_4,-0.00062870022925977
Cr_5,0.008991911210494785
Cr_6,0.01816410742232066
Fe_1,-0.017700932361200388
Fe_2,-0.04086950919516245
Fe_3,-0.06632453739424524
Fe_4,-0.08388891012630265
Fe_5,-0.0970313902296914
Fe_6,-0.11182985878287388
Cd_1,0.004229881883398518
Cd_2,0.00945897304434073
Cd_3,0.010555419529598882
Cd_4,0.015879258636381698
Cd_5,0.016480801362408547
Cd_6,0.025603013256105155
Zn_1,-0.015574621959457918
Zn_2,0.008516515733550608
Zn_3,0.0019017775048548531
Zn_4,0.014715995358198975
Zn_5,0.010765098516151714
Zn_6,0.024361391659613044
Cu_1,0.0023629553411388853
Cu_2,0.0016106628510026925
Cu_3,0.011567284796672184
Cu_4,0.02085437207998281
Cu_5,0.027384986446705364
Cu_6,0.03856057467650019
Pb_1,-0.00014181784776020527
Pb_2,-0.0015175782862358641
Pb_3,0.009664150384479974
Pb_4,0.012285323404825988
Pb_5,0.02279444914523753
Pb_6,0.03565907284060403
