,yiiU
Cr_1,0.004050987704548091
Cr_2,0.008549087515362718
Cr_3,0.015990944253799887
Cr_4,0.011817942397045169
Cr_5,0.013714874630423424
Cr_6,0.017936824045766252
Fe_1,-0.017309223056531733
Fe_2,-0.0254994071648653
Fe_3,-0.02560036748438408
Fe_4,-0.02755553429744488
Fe_5,-0.01436834422533554
Fe_6,0.0059124879181797685
Cd_1,0.006754259471374064
Cd_2,0.020788059945694604
Cd_3,0.036817371092875764
Cd_4,0.05586658257227528
Cd_5,0.06808000283256901
Cd_6,0.0822083786890956
Zn_1,0.02963830228883625
Zn_2,0.0716821344292285
Zn_3,0.13149481641589308
Zn_4,0.1567039338255409
Zn_5,0.17829191793297106
Zn_6,0.18128559017571244
Cu_1,0.003713420588211279
Cu_2,0.008189775612513349
Cu_3,0.01323124346965105
Cu_4,0.0196728680873097
Cu_5,0.031035343540176976
Cu_6,0.0402583696949658
Pb_1,0.0019773350271924885
Pb_2,0.010257080190237813
Pb_3,0.02515615351948047
Pb_4,0.030833543600371275
Pb_5,0.036787856737680084
Pb_6,0.038470867158408285
