,yeeU
Cr_1,-0.001472537560405196
Cr_2,-0.008961012596072985
Cr_3,0.0027422688006024038
Cr_4,0.012405406686887315
Cr_5,0.012279216272644321
Cr_6,0.016219280579865
Fe_1,-0.012127823764327344
Fe_2,-0.03587965330591033
Fe_3,-0.05039634749293501
Fe_4,-0.06442976806091046
Fe_5,-0.07025121861428585
Fe_6,-0.07889649818921841
Cd_1,0.005327684360588074
Cd_2,0.011092460098715395
Cd_3,0.01539878217882799
Cd_4,0.017358957290058208
Cd_5,0.01343081407743447
Cd_6,0.0186841709882298
Zn_1,-0.02644701415275717
Zn_2,-0.05065344940382853
Zn_3,-0.07062073579276293
Zn_4,-0.07647919251453594
Zn_5,-0.08532258419884406
Zn_6,-0.09797060640574436
Cu_1,0.00636958508429854
Cu_2,0.009599304348374842
Cu_3,0.012144212702887904
Cu_4,0.004353100722905681
Cu_5,-0.0014466395050360134
Cu_6,0.0009174392240698262
Pb_1,0.011012465122353456
Pb_2,0.01969240055726677
Pb_3,0.025569334784289084
Pb_4,0.03172305442016042
Pb_5,0.038259584392055054
Pb_6,0.041348233296881816
