,yihL
Cr_1,0.001957621297914307
Cr_2,0.005936510201465204
Cr_3,0.0031467484487286428
Cr_4,0.0036033579232370478
Cr_5,0.00645125884940911
Cr_6,0.0030636821533574056
Fe_1,-0.0048655676082230955
Fe_2,-0.005359331024693884
Fe_3,0.005784882660565279
Fe_4,0.022016760690007287
Fe_5,0.042120713151966235
Fe_6,0.05651226056864974
Cd_1,0.006487719437578142
Cd_2,0.008566760717953181
Cd_3,0.015225921342210043
Cd_4,0.02237446563685569
Cd_5,0.028742412381381487
Cd_6,0.033516842166066506
Zn_1,0.007895231817083787
Zn_2,0.02012930809727029
Zn_3,0.04009942578657463
Zn_4,0.06297064819286921
Zn_5,0.08249948615026081
Zn_6,0.09357413075515704
Cu_1,0.00024931977730559426
Cu_2,-0.0010169859539670926
Cu_3,0.0072588505732120185
Cu_4,0.013118229943964286
Cu_5,0.017906099251084242
Cu_6,0.020050592334327728
Pb_1,-0.0002916545571041926
Pb_2,0.010854761266979141
Pb_3,0.01909014363096422
Pb_4,0.032862328024716364
Pb_5,0.0391300575771214
Pb_6,0.04320503659717597
