,secA
Cr_1,0.0005149558694296885
Cr_2,0.003247453633051445
Cr_3,0.02512581311021972
Cr_4,0.027384546017237256
Cr_5,0.03875973143890825
Cr_6,0.04144200778971388
Fe_1,-0.03834592024413865
Fe_2,-0.04008295653439607
Fe_3,-0.056055409395311936
Fe_4,-0.05960022736532559
Fe_5,-0.05207424264924708
Fe_6,-0.04070257852945122
Cd_1,0.005710122151225762
Cd_2,0.02274998664855489
Cd_3,0.03856907308522007
Cd_4,0.046347495859095166
Cd_5,0.04217079551021005
Cd_6,0.04324565399532211
Zn_1,0.019318604971811097
Zn_2,0.03355039638988413
Zn_3,0.07799402444696121
Zn_4,0.10417771468058283
Zn_5,0.09634934585066918
Zn_6,0.1158317675655737
Cu_1,0.004114320935391595
Cu_2,0.009788108026549214
Cu_3,0.014283928470697631
Cu_4,0.015019480046220238
Cu_5,0.022939131544777055
Cu_6,0.03726860189818625
Pb_1,0.0055570378585584074
Pb_2,0.009936440707761115
Pb_3,0.004411212103007672
Pb_4,-0.006905305310789914
Pb_5,0.004759296911669487
Pb_6,0.0009411369632208713
