,ybeR
Cr_1,0.011586172805699456
Cr_2,0.01703724229229587
Cr_3,0.01728361485157055
Cr_4,0.048046773482322495
Cr_5,0.04454797992672485
Cr_6,0.05908562607033507
Fe_1,-0.005338604235109694
Fe_2,-0.030153452443160637
Fe_3,-0.044306957980495366
Fe_4,-0.0599167977922862
Fe_5,-0.09199228007258604
Fe_6,-0.10857001488440524
Cd_1,0.001317002821715248
Cd_2,0.0043621521876382645
Cd_3,0.00844174651092365
Cd_4,0.015364392200867216
Cd_5,0.014987729245739715
Cd_6,0.021950992116847413
Zn_1,0.0019280736475243106
Zn_2,0.01588887061953955
Zn_3,0.044013816509922025
Zn_4,0.07468646482069337
Zn_5,0.07732177418672798
Zn_6,0.07855954640648855
Cu_1,0.0026410501614743745
Cu_2,0.00472725675955982
Cu_3,0.01277178740435228
Cu_4,0.022427830910030318
Cu_5,0.026670388527046
Cu_6,0.03929100042722047
Pb_1,0.007883585845724767
Pb_2,0.012115354398385634
Pb_3,0.01564702747686179
Pb_4,0.02942052521519595
Pb_5,0.044697518816650884
Pb_6,0.05907096703350453
