,rsd
Cr_1,-0.0007629765438681679
Cr_2,-3.6625527261271084e-05
Cr_3,0.006091764343817685
Cr_4,0.014709368567136822
Cr_5,0.03012357976097018
Cr_6,0.04160345842357563
Fe_1,0.0004920884766167305
Fe_2,0.00028999088946671904
Fe_3,-0.0038179078314237273
Fe_4,-0.015783071138637368
Fe_5,-0.022087520475299702
Fe_6,-0.02960125920998206
Cd_1,0.00487922488820426
Cd_2,0.010676498968840336
Cd_3,0.014495352210566541
Cd_4,0.01666227689090254
Cd_5,0.013985065191965615
Cd_6,0.015184323299245718
Zn_1,-0.006728423841086045
Zn_2,-0.010482750680929446
Zn_3,-0.014601254942641724
Zn_4,-0.018487401798503413
Zn_5,-0.024250794497109526
Zn_6,-0.027709570943151258
Cu_1,0.0008286020018882492
Cu_2,0.0016782961194275188
Cu_3,0.0037387530281034493
Cu_4,0.002715970183563059
Cu_5,-0.0001581895679466035
Cu_6,-0.00021820860292361298
Pb_1,0.0038334501989261936
Pb_2,0.005921627656519414
Pb_3,0.008594693586000684
Pb_4,0.009350434439705149
Pb_5,0.008591558364085686
Pb_6,0.0042510070551650585
