,SP5448_08315
SRX1726505,-0.0200769703
SRX1726506,-0.265785265
SRX1726507,0.2858622353
SRX1726508,3.6985246189
SRX1726509,3.917828655
SRX1726510,2.1796451783
SRX1726511,1.7835269743
SRX1726512,1.6860416205000002
SRX1726513,3.06344913
SRX1081650,0.23870014990000002
SRX1081651,0.3961029325
SRX1081652,-0.0088826436
SRX1081653,0.758907246
SRX1081654,0.7082126390000001
SRX1081655,-0.15519260610000002
SRX1081656,-0.0315629905
SRX1081657,-0.42900102560000003
SRX1081658,-0.1218429387
SRX1081659,0.8098833403
SRX1081660,0.4786128846
SRX1081661,-0.3984521878
SRX1081662,-0.10020203970000001
SRX1081663,-0.8803233744000001
SRX1081664,-0.4698914148
SRX1081665,0.3265349645
SRX1081666,-0.35064955740000003
SRX1081668,-0.0306275482
SRX1081669,-0.0550961062
SRX1081670,-0.28531525550000003
SRX1081671,-0.39991446810000003
SRX1081672,2.2113144633
SRX1081673,4.2558197792
SRX1081674,4.0232728004
SRX1081675,3.8693361935
SRX1081676,4.45794799
SRX1081677,2.3041940928
SRX1081678,1.6805579003000002
SRX1081679,2.9999805626000002
SRX1081680,2.3816549969
SRX1081681,4.0606190018
SRX1081682,4.266510629
SRX1081683,3.6029898236999998
SRX1081684,2.6044658249
SRX1081685,2.4101567044
SRX1081686,3.380630976
SRX1081687,2.6890285411
SRX1081688,1.9847298590000002
SRX1081689,2.7321445175
SRX1081690,0.9256554254
SRX1081691,1.2959586985
SRX1081692,0.9496528498000001
SRX1962715,0.1379682447
SRX1962716,-0.0342525211
SRX1962717,-0.1037157236
SRX1962718,-2.7871160601
SRX1962719,-0.2659571266
SRX1962720,0.045997145100000005
SRX1962721,-0.6223331497
SRX4892146,0.1605873959
SRX4892147,0.1158614124
SRX4892148,-0.139039812
SRX4892149,-0.1374089962
SRX4892150,-0.3652528579
SRX4892151,0.0262263904
SRX4892152,-0.029063426700000002
SRX4892153,-0.42516876870000003
SRX4892154,-0.5422320890000001
SRX4892155,-0.3207761136
SRX4892156,-0.4059572258
SRX4892157,-0.2148758443
SRX4892158,0.7188209737
SRX4892159,0.6584244053
SRX4892160,0.21127832940000002
SRX4892161,-0.0045915509000000005
SRX7620814,2.0019178086
SRX7620815,1.7562544709
SRX7620816,1.8962008118
SRX7620817,4.0462153445
SRX7620818,3.7874995852
SRX7620819,3.999444326
SRX7620856,-2.0851542551
SRX7620857,-1.0081837783
SRX7620858,-2.4057387153
SRX7620859,-0.3329070114
SRX7620860,-1.6754720974000001
SRX7620861,-0.39175591200000004
SRX7620862,-0.7473890594
SRX7620863,-1.7556129440000001
SRX7620864,-1.7645792304999999
SRX7620865,-1.3508960869
SRX7620866,-3.1424048013
SRX7620867,-1.4804902127
SRX2161502,0.12446501380000001
SRX2161503,-0.6363837939
SRX2161504,0.5119187801
SRX2161505,-1.1868324317
SRX2161506,-0.302608337
SRX2161507,-1.0788070276
SRX2161508,-0.1189449159
SRX2161509,-0.9013178335
SRX2161510,-0.4687394193
SRX2161511,-1.9661731910000002
SRX2161512,-1.6756069313
SRX2161513,-1.6637290152
SRX2161514,4.5298738944
SRX2161515,4.6932624047000004
SRX2161516,4.6258746385
SRX2161517,2.6290387063000002
SRX2161518,2.1238822501
SRX2161519,2.2760406823
SRX2161520,3.9526928454
SRX2161521,3.7704532181
SRX2161522,3.8174162032
SRX2161523,1.2478643732
SRX2161524,1.1849372063999999
SRX2161525,2.1177718127
