,yjhU
Cr_1,0.0009358753272796204
Cr_2,-0.001956683506186732
Cr_3,-0.0004842644242360704
Cr_4,-0.004157470563298617
Cr_5,-0.0021076004096276897
Cr_6,1.8760810516365067e-05
Fe_1,-0.008183229507927183
Fe_2,-0.02721309802196484
Fe_3,-0.0380615352137224
Fe_4,-0.05645221299777334
Fe_5,-0.06447390170507465
Fe_6,-0.07008228887441571
Cd_1,0.005215544804521615
Cd_2,0.006495485375040721
Cd_3,0.007030365646047318
Cd_4,0.02601847528932176
Cd_5,0.02839492648359037
Cd_6,0.03521815571978095
Zn_1,0.0017771726591770906
Zn_2,-0.01762455499946328
Zn_3,-0.0029987707686947467
Zn_4,0.011326263517844845
Zn_5,0.023898448556528343
Zn_6,0.022529094701213292
Cu_1,0.006556621932190264
Cu_2,0.011115503236405451
Cu_3,0.014227584184230294
Cu_4,0.014111773452073925
Cu_5,0.025077339407020203
Cu_6,0.02965715286570574
Pb_1,0.013145509625009063
Pb_2,0.012415713581741206
Pb_3,0.01733624066219956
Pb_4,0.022037927245396664
Pb_5,0.02320698274253286
Pb_6,0.031861741086402
