,yjeB
Cr_1,0.0009363121094079836
Cr_2,0.0005826277885039808
Cr_3,-0.006275462231988675
Cr_4,-0.011778539864311113
Cr_5,-0.013629196734914516
Cr_6,-0.017012496342315952
Fe_1,-0.008613798968762694
Fe_2,-0.020806240987713654
Fe_3,-0.030723467636707608
Fe_4,-0.04134500111716044
Fe_5,-0.045331876051282284
Fe_6,-0.05083938706778493
Cd_1,0.0011303809925079804
Cd_2,0.001340531962123341
Cd_3,0.0011803937125147376
Cd_4,-0.0009513967217861133
Cd_5,-0.00634687006699329
Cd_6,-0.0060442288246419385
Zn_1,-0.0038199618761654095
Zn_2,-0.010098080704841386
Zn_3,-0.012002006764892484
Zn_4,-0.004916958065761669
Zn_5,-0.0005344398108828068
Zn_6,0.0015722739297734944
Cu_1,0.0018902549918508509
Cu_2,0.006885571236102964
Cu_3,0.010457540261220564
Cu_4,0.014183556853281704
Cu_5,0.015274097788639229
Cu_6,0.02266714786608773
Pb_1,-0.0068747875586117405
Pb_2,-0.005343039494205843
Pb_3,0.0013839807090351324
Pb_4,0.0012408077471508256
Pb_5,0.002749110506540082
Pb_6,0.002106287606535033
