,yijO
Cr_1,0.0013267977977070846
Cr_2,0.0010187282680377237
Cr_3,0.008247708304524337
Cr_4,0.014388650780129972
Cr_5,0.02027270002925446
Cr_6,0.02222094517067748
Fe_1,-0.003739360053186776
Fe_2,-0.013911713120707494
Fe_3,-0.03300339461670865
Fe_4,-0.04349989735485885
Fe_5,-0.04647793185387709
Fe_6,-0.04373252484435482
Cd_1,0.0033245726388327038
Cd_2,0.006198157347514578
Cd_3,0.011222904002308154
Cd_4,0.015933615459525718
Cd_5,0.016134997963259682
Cd_6,0.019196319151432176
Zn_1,0.003136333518460571
Zn_2,0.007729243334072063
Zn_3,0.013229072658125007
Zn_4,0.0256846614643872
Zn_5,0.03419441128728306
Zn_6,0.042253597545291316
Cu_1,0.002273042012123705
Cu_2,0.008236296655406651
Cu_3,0.015636654992342132
Cu_4,0.015725326470918233
Cu_5,0.014830226221751569
Cu_6,0.022257118732709687
Pb_1,0.008617934189568584
Pb_2,0.016095906295573087
Pb_3,0.021500487708478438
Pb_4,0.02687589294063368
Pb_5,0.03224750732302429
Pb_6,0.033539352089048666
