,uvrC
Cr_1,0.008272829105979674
Cr_2,0.010116778841973723
Cr_3,0.025409821713800324
Cr_4,0.02783948249452879
Cr_5,0.032950539334269835
Cr_6,0.027444396743574576
Fe_1,-0.0040245564494708905
Fe_2,-0.019914238205335857
Fe_3,-0.03355105671258042
Fe_4,-0.04979697013934163
Fe_5,-0.05527788991138771
Fe_6,-0.05961586892346135
Cd_1,0.0037359264261473697
Cd_2,0.008938092876207235
Cd_3,0.015430002101812147
Cd_4,0.02172217372994518
Cd_5,0.019812962787976774
Cd_6,0.03188028959618204
Zn_1,-0.0072831548360501935
Zn_2,-0.010140452178809418
Zn_3,-0.005490625143645041
Zn_4,0.008802968263460137
Zn_5,0.02492841113909726
Zn_6,0.02230924353028103
Cu_1,0.001875876718254021
Cu_2,0.00678115633183339
Cu_3,0.007594864735477036
Cu_4,0.009021116676642049
Cu_5,0.014867866893888162
Cu_6,0.020066171462387167
Pb_1,-0.0066406965939189745
Pb_2,-0.0024747191516509798
Pb_3,-0.001699174971983594
Pb_4,0.00015263106883981397
Pb_5,0.005471792967941939
Pb_6,0.010367452525507907
