,rhsB
Cr_1,0.05285439347985109
Cr_2,0.08460960728369121
Cr_3,0.10991750233404532
Cr_4,0.12315783935239992
Cr_5,0.1296330473476013
Cr_6,0.12701581610026386
Fe_1,-0.012747741818069263
Fe_2,-0.030153620113496708
Fe_3,-0.045456303500488716
Fe_4,-0.054927695844978426
Fe_5,-0.059333602749284724
Fe_6,-0.051959667815389916
Cd_1,-0.0036371760054628773
Cd_2,-0.007246555154978389
Cd_3,-0.004968094959606211
Cd_4,-0.0039232197210391315
Cd_5,-0.011939069919824607
Cd_6,-0.011940848904127698
Zn_1,-0.006648446366432136
Zn_2,-0.01042433090293916
Zn_3,-0.000823413355346773
Zn_4,0.008161853340422048
Zn_5,0.013592058880262277
Zn_6,0.02504713880985112
Cu_1,0.005302378642065293
Cu_2,0.0062575703319812746
Cu_3,0.01032382361711892
Cu_4,0.011216638048738929
Cu_5,0.014270983688648984
Cu_6,0.013516060410066677
Pb_1,-0.011597435035035096
Pb_2,-0.01755084411943949
Pb_3,-0.02592535623944504
Pb_4,-0.034954939488808116
Pb_5,-0.04597818636385559
Pb_6,-0.055444170117536766
