,Value,list
TF,crp,
reg_genes,587,"['xylH' 'idnR' 'fbaA' 'crp' 'ugpE' 'deoC' 'mhpF' 'entH' 'fepA' 'melB'
 'cyoA' 'sxy' 'nuoB' 'yfeD' 'dadA' 'dksA' 'yadG' 'uxaC' 'setB' 'cspD'
 'paaZ' 'sucC' 'malI' 'chbR' 'hflK' 'mhpE' 'speC' 'citA' 'malS' 'entB'
 'rimP' 'nfuA' 'yibI' 'rmuC' 'feaB' 'clpS' 'acnB' 'fecE' 'puuC' 'sdhC'
 'rhaB' 'yaiZ' 'ulaF' 'mhpD' 'gabT' 'paaK' 'uhpT' 'galE' 'yadH' 'mhpA'
 'rpoE' 'casC' 'idnT' 'gadB' 'tnaA' 'putP' 'gyrA' 'ycjT' 'chbA' 'malF'
 'nanK' 'lamB' 'ycjN' 'hofC' 'csiE' 'treB' 'cysQ' 'nuoG' 'uxuB' 'cspE'
 'fiu' 'pncB' 'csgF' 'ygdG' 'fecC' 'gdhA' 'sdhB' 'srlE' 'chiP' 'rbsR'
 'yhhW' 'hyfD' 'glcF' 'ilvB' 'yedP' 'ivbL' 'galT' 'glpX' 'aceK' 'melR'
 'cytR' 'ugpA' 'rbsK' 'glpF' 'ygbT' 'ybgS' 'hpt' 'ubiG' 'puuR' 'lhgO'
 'cirA' 'cstA' 'cysG' 'yiaN' 'idnK' 'flhD' 'caiT' 'nuoK' 'glcC' 'ugpQ'
 'rpsF' 'gltB' 'narQ' 'hyfI' 'mazE' 'nanM' 'aaeB' 'uidC' 'cyoE' 'lsrD'
 'nuoC' 'gabP' 'mdtA' 'nanC' 'ygeA' 'ompR' 'gabD' 'preT' 'gcvT' 'prpC'
 'entD' 'araE' 'entE' 'sucA' 'gadX' 'malY' 'lsrF' 'fur' 'nuoF' 'fdoH'
 'caiC' 'yjhQ' 'serA' 'uhpA' 'aer' 'nrdA' 'rbfA' 'ycfQ' 'rpsO' 'fucR'
 'casD' 'ptsH' 'yjhP' 'prpD' 'glpA' 'relA' 'fadL' 'nuoJ' 'garR' 'nirC'
 'cyaA' 'uxuA' 'paaA' 'uxaB' 'marA' 'sdaB' 'mdtC' 'yhhX' 'sgbU' 'melA'
 'rseB' 'sodB' 'srlD' 'lacZ' 'zraR' 'nuoL' 'yeaC' 'nuoI' 'srlB' 'nirD'
 'psiE' 'rhaS' 'pspA' 'actP' 'baeR' 'ldtB' 'yfaE' 'eptB' 'casA' 'ysgA'
 'pabA' 'garP' 'acnA' 'ybdD' 'gcvP' 'paaG' 'truB' 'nanE' 'guaA' 'paaB'
 'hyfR' 'guaB' 'yiaM' 'agp' 'fumA' 'dcuB' 'gcd' 'araD' 'exuT' 'nuoE'
 'bglG' 'hyfF' 'yobF' 'yjjW' 'dadX' 'manA' 'hlyE' 'chbC' 'nuoN' 'umpH'
 'chbB' 'tdcC' 'metK' 'malM' 'gadA' 'thrA' 'hofB' 'araF' 'csiD' 'tdcF'
 'fecB' 'uxaA' 'glnL' 'tdcB' 'cyoB' 'nlpE' 'sdhD' 'fadD' 'mlc' 'hokB'
 'yfeC' 'proP' 'aaeR' 'rhaR' 'ucpA' 'glpB' 'malE' 'gntX' 'mhpC' 'ptsI'
 'nusA' 'lacI' 'glcA' 'prpB' 'citC' 'opgE' 'kbaZ' 'lldP' 'entA' 'tdcA'
 'yiaK' 'exuR' 'cspA' 'tsgA' 'thrB' 'ompG' 'aceA' 'nirB' 'paaC' 'rpsR'
 'nagC' 'ugpC' 'yeiP' 'sgbH' 'yqeF' 'gntP' 'lpd' 'sfsA' 'rhaD' 'xylF'
 'aceB' 'ascB' 'rtn' 'ulaE' 'sucD' 'pspC' 'uidA' 'araH' 'fucU' 'lacA'
 'aspA' 'mntH' 'caiB' 'pspE' 'fic' 'tam' 'rbsB' 'araG' 'pdhR' 'fucO' 'rmf'
 'rnk' 'araJ' 'yeiQ' 'citB' 'xylG' 'galP' 'fdoI' 'hupB' 'uhpB' 'csgG'
 'glpK' 'hflC' 'galK' 'chiQ' 'rplI' 'mdtB' 'aroA' 'rssB' 'csgD' 'murP'
 'preA' 'dcuR' 'rhaT' 'yibH' 'ompF' 'dusB' 'dsdX' 'ulaC' 'caiA' 'nanT'
 'iceT' 'infB' 'msrB' 'tsx' 'ycjS' 'gntK' 'rseC' 'chbG' 'hupA' 'gapA'
 'fucP' 'rpsU' 'ygbF' 'srlM' 'gntU' 'deoB' 'grcA' 'rbsD' 'fucK' 'yiaJ'
 'galM' 'cspC' 'caiF' 'pspB' 'tdcE' 'yhfA' 'thrC' 'glgA' 'rplM' 'fumB'
 'sbmC' 'yjjI' 'dnaG' 'yaiY' 'uidB' 'puuE' 'glcD' 'fis' 'malT' 'modB'
 'trxA' 'araB' 'csgE' 'lsrC' 'udp' 'nupG' 'tdcD' 'cyoD' 'ompW' 'bglB'
 'hflX' 'uxuR' 'gcvH' 'pgk' 'gltA' 'ynfK' 'hyfB' 'rbsC' 'yjiY' 'cpdB'
 'araA' 'gntT' 'nuoM' 'gpsA' 'puuD' 'entC' 'mdh' 'glpE' 'envZ' 'gadE'
 'ybiT' 'yaeQ' 'rpoS' 'nanA' 'feaR' 'mokB' 'ampD' 'lsrB' 'yadI' 'focA'
 'rhaA' 'glcB' 'hofM' 'glnA' 'fdoG' 'lsrG' 'fadH' 'lsrK' 'paaJ' 'rof'
 'yhfG' 'rbsA' 'paaH' 'fucA' 'sohB' 'tnaB' 'modC' 'glnG' 'uhpC' 'yhcH'
 'prpE' 'gltF' 'bhsA' 'casE' 'gadC' 'pnp' 'pflB' 'trg' 'ycdZ' 'ycjM'
 'lsrR' 'prpR' 'xseA' 'bglF' 'yiaO' 'modA' 'secB' 'aldB' 'nagB' 'ugpB'
 'yaeP' 'fixA' 'mhpR' 'nadC' 'paaE' 'lsrA' 'fecA' 'gltD' 'araC' 'dctA'
 'fumC' 'ribB' 'murQ' 'dsdA' 'glgC' 'malK' 'srlR' 'nuoH' 'xylA' 'nupC'
 'malX' 'flhC' 'treC' 'nrdB' 'cyoC' 'oxyR' 'chbF' 'ilvN' 'deoA' 'priB'
 'glcG' 'garL' 'ompA' 'glpD' 'lldD' 'sodA' 'ppiA' 'caiD' 'focB' 'aceE'
 'pka' 'epd' 'malG' 'mlrA' 'mazF' 'lacY' 'mpl' 'glgS' 'nanS' 'rpoH' 'grpE'
 'puuB' 'rseA' 'srlQ' 'lldR' 'serC' 'glpG' 'acs' 'glcE' 'clpA' 'mdtE'
 'osmY' 'deoD' 'mtfA' 'yiaL' 'ycjQ' 'xylB' 'marR' 'rpsI' 'arfB' 'ansB'
 'aceF' 'zraS' 'xylR' 'yjcH' 'glgP' 'sgbE' 'glpC' 'hyfG' 'nagE' 'crr'
 'ulaA' 'aaeA' 'mdtF' 'lyxK' 'paaF' 'fecD' 'paaD' 'mhpB' 'citF' 'nagA'
 'ytjA' 'ulaD' 'baeS' 'sucB' 'srlA' 'fixB' 'garK' 'ygjV' 'argG' 'dcuA'
 'hfq' 'fucI' 'idnO' 'fixC' 'ampE' 'nuoA' 'tdcG']"
comp_genes,40,"['gatC_2' 'ymfI' 'pepE' 'ilvC' 'cohE' 'gatR_1' 'nikA' 'gpr' 'gatC_1'
 'ynfM' 'ydcH' 'nmpC_1']"
both_genes,28,"['gatY' 'yhfK' 'mtlD' 'glpT' 'mglB' 'ptsG' 'gatZ' 'mtlA' 'cdd' 'idnD'
 'mtlR' 'galS' 'lgoR' 'manZ' 'manY' 'pck' 'sdaC' 'glpQ' 'gatD' 'raiA'
 'aldA' 'gatA' 'mglA' 'gatB' 'sdhA' 'ychH' 'mglC' 'manX']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,281,
comp_ops,27,
both_ops,17,
