sample,BSU39780
LBexp_1,12.9917
LBexp_2,12.9437
LBexp_3,12.6396
LBtran_1,13.7035
LBtran_2,14.0218
LBtran_3,13.8354
LBstat_1,12.8157
LBstat_2,12.5243
LBstat_3,12.4062
LBGexp_1,12.0881
LBGexp_2,12.3856
LBGexp_3,12.6273
LBGtran_2,13.1941
LBGtran_3,13.325
LBGstat_1,12.8932
LBGstat_2,12.534
LBGstat_3,13.2088
S0_1,12.3508
S0_2,12.4407
S0_3,12.4075
S1_1,12.679
S1_2,12.7493
S1_3,12.7941
S2_1,12.656
S2_2,12.5247
S2_3,12.4459
S3_1,12.4681
S3_2,12.1258
S4_1,12.2303
S4_2,11.9723
S4_3,11.7958
S5_1,11.6936
S5_2,12.1308
S5_3,12.0222
S6_1,11.4487
S6_2,10.0457
S6_3,11.527
S6/t_1,11.307
S6/t_2,9.4923
S6_4,10.7761
S6_5,11.2606
S6_6,11.1659
S7_4,11.1395
S7_5,11.0043
S7_6,11.0476
S8_4,10.6726
S8_5,9.9762
G135_1,11.9861
G135_3,10.3286
G150_1,12.2393
G150_2,12.4509
G150_3,12.6716
G180_1,11.9995
G180_2,12.4736
G180_3,11.4644
C30_1,10.3811
C30_2,10.8359
C90_1,11.9208
C90_2,12.1998
BI_1,13.0968
BI_2,13.348
BC_2,12.9982
BC/t_1,12.6371
BC/t_2,12.8567
BC_1,12.4577
Sw_1,12.847
Sw_2,13.0625
BT_1,12.5501
BT_2,12.2105
B36_1,11.7334
B36_2,11.4349
B60_1,12.7248
B60_2,12.5762
M9exp_1,12.6831
M9exp_2,12.2082
M9exp_3,11.9604
M9tran_1,12.2147
M9tran_2,12.2776
M9tran_3,12.4581
M9stat_1,11.124
M9stat_2,11.2633
M9stat_3,11.0648
M+G_1,12.0466
M+G_2,12.0166
M+G_3,12.0902
Glu_1,12.3176
Glu_2,11.9957
Glu_3,12.1846
Fru_1,12.0996
Fru_2,12.6391
Fru_3,11.8459
Mal_1,12.1172
Mal_2,12.173
Mal_3,12.2407
G+S_2,12.3064
