,metZ
Cr_1,-0.005799265875737015
Cr_2,-0.0027771462804998736
Cr_3,-0.006384243581786906
Cr_4,-0.010224364364831508
Cr_5,-0.012943475265287392
Cr_6,-0.013179847800902459
Fe_1,-0.009549379513307196
Fe_2,-0.03870805145642035
Fe_3,-0.044358017379493415
Fe_4,-0.05501594262643755
Fe_5,-0.04932470323425578
Fe_6,-0.0505364816423805
Cd_1,0.008232169075388453
Cd_2,0.014727680186190088
Cd_3,0.02368575348302921
Cd_4,0.023074556302617358
Cd_5,0.02294080216006524
Cd_6,0.02143278915777497
Zn_1,0.00010428312203472231
Zn_2,0.016731029960389526
Zn_3,0.033668217029998566
Zn_4,0.043365122681795064
Zn_5,0.050541996138473363
Zn_6,0.0670206731884858
Cu_1,0.009814706199703798
Cu_2,0.014273944698074612
Cu_3,0.022999300114922672
Cu_4,0.032949239849948256
Cu_5,0.03810456070062646
Cu_6,0.04366459380779957
Pb_1,0.003419682165379275
Pb_2,0.010333934275770713
Pb_3,0.0158750927894289
Pb_4,0.023269968215727386
Pb_5,0.026390892177687503
Pb_6,0.032527443905570545
