,A,Fnr,SigA
R2,,0.8429343270411781,0.0
xmin,,-2.0602333333,-2.8581666667
xmid,,2.2774872687223873,
xmax,,5.9010666667,1.3287333333
ystart,,1.9291893001341798,5.2739181188479245
yend,,37.51224395417964,5.2739181188479245
LBexp_1,-0.6171793417,1.1625666667,0.4313333333
LBexp_2,3.6829789872000003,2.7291666667000003,0.2070333333
LBexp_3,5.1265522675,2.3309666667,0.0450333333
LBtran_1,30.717512912,4.6996666667,0.09453333330000001
LBtran_2,34.7537916835,5.2620666667,0.2031333333
LBtran_3,37.4290202382,5.9010666667,0.18983333330000002
LBstat_1,23.7648146571,4.8599666667,0.2544333333
LBstat_2,24.9427403115,4.5522666667,0.33783333330000004
LBstat_3,25.4205286457,4.2778666667,0.2721333333
LBGexp_1,2.8605970754000003,1.7152666667,0.6050333333
LBGexp_2,3.1024712259,-0.1405333333,0.4716333333
LBGexp_3,2.344884862,1.7126666667000001,0.7866333333000001
LBGtran_2,29.5548318644,5.0850666667,0.1297333333
LBGtran_3,27.6625439046,5.0819666667,0.4393333333
LBGstat_1,22.5485383702,5.6251666667,0.4042333333
LBGstat_2,21.9981165618,5.0337666667,-0.2733666667
LBGstat_3,19.9793173392,3.8183666667000002,-0.5597666667
S0_1,23.3610836262,3.7470666667,0.3059333333
S0_2,21.4454132743,3.7835666667,0.0420333333
S0_3,25.5842645805,4.7876666667,0.2446333333
S1_1,5.7972796375,-0.6557333333,0.6412333333
S1_2,6.5369095634,-0.8209333333000001,0.7176333333
S1_3,5.1181498261,-0.5125333333000001,0.5724333333
S2_1,8.7760176941,3.5237666667000003,-1.3588666667
S2_2,6.2858228226,3.0355666667,-1.2832666667
S2_3,12.1428086373,3.6668666667,-1.5691666667000002
S3_1,6.5376798427,1.9339666667,0.2958333333
S3_2,-0.5395905298,0.7803666667,-0.5800666667000001
S4_1,0.2227203479,1.8541666667,-0.1741666667
S4_2,0.8501128078,2.7717666667,0.1319333333
S4_3,0.1122303456,2.1411666667,0.0479333333
S5_1,1.0865012909,2.2621666666999998,0.45683333330000003
S5_2,0.7483538234,2.7128666667,0.6503333333
S5_3,-0.2037311128,3.0997666667,0.48193333330000004
S6_1,4.2943075593,2.6402666667,0.6142333333000001
S6_2,11.0857965692,-0.1977333333,1.3135333333
S6_3,2.428359008,3.3800666667,0.2292333333
S6/t_1,6.3089752209,2.4616666667000002,0.5664333333
S6/t_2,13.0118545134,-0.7522333333,0.6799333333
S6_4,5.3900368412,1.4448666667,0.3513333333
S6_5,3.5378382556,2.1168666667,0.7257333333
S6_6,3.2233817164,2.4444666667,0.6137333333
S7_4,6.7448867365,1.9182666667000001,0.3621333333
S7_5,7.479030119,1.6370666667,0.23643333330000002
S7_6,7.5080314772,1.9527666667,0.1780333333
S8_4,8.5030338243,1.6640666667000001,-0.3188666667
S8_5,12.7297936705,1.1647666667,0.2585333333
G135_1,3.4735422555,1.1979666667,1.0403333333
G135_3,5.8049064040000005,-1.0296333333,-0.5351666667
G150_1,2.0364034833,0.1574666667,0.060033333300000005
G150_2,0.708065695,1.2085666667,0.8795333333
G150_3,2.4930646015,0.2373666667,0.7559333333
G180_1,1.9902201761,0.8980666667,0.8065333333
G180_2,1.3184680698,1.4939666667,1.1408333333
G180_3,2.1240076619,0.1718666667,0.0162333333
C30_1,1.7236169374,-0.6764333333,0.45133333330000003
C30_2,1.8112515603000001,-0.46883333330000004,0.4866333333
C90_1,5.9798710225,-0.8141333333,0.4576333333
C90_2,4.1169552412,-0.8286333333,0.5262333333
BI_1,22.1835390676,3.7035666667,0.5050333333
BI_2,22.1393656085,3.6128666667,0.7180333333000001
BC_2,1.3478017086,1.6264666667,1.0966333333
BC/t_1,5.3255715472,1.5820666667,0.9815333333
BC/t_2,5.1707265107,1.5051666667,1.0916333333
BC_1,5.0537343697,1.5378666667,0.5115333333000001
Sw_1,10.644520697699999,0.8307666667,1.0459333333
Sw_2,6.7059949226,1.5250666667,1.0478333333
BT_1,8.5068091793,2.5263666667,0.5767333333
BT_2,9.2060878669,2.1269666667,-0.0334666667
B36_1,6.344922143,1.9003666667,0.0932333333
B36_2,6.5626245171,1.9667666666999999,-0.2855666667
B60_1,5.0670526158,2.3963666667,-0.8806666667
B60_2,3.6235274886,2.8239666667,-1.4178666667
M9exp_1,-0.24003299390000002,0.1545666667,0.4500333333
M9exp_2,0.43577306930000004,-0.0463333333,0.0428333333
M9exp_3,-0.19574007540000002,-0.1082333333,-0.4928666667
M9tran_1,1.8461948853,1.4498666667,-0.5197666667
M9tran_2,4.231815457,2.4022666667,-0.4929666667
M9tran_3,0.16112250320000002,0.0396666667,-0.2826666667
M9stat_1,7.1154634685,-0.5182333333,-2.3677666667
M9stat_2,7.5318461926,-0.32173333330000004,-2.5926666667
M9stat_3,7.420920618,-0.5799333333000001,-2.8581666667
M+G_1,5.3345465666,1.6490666667,-0.2651666667
M+G_2,0.8343206172000001,1.0945666667,-0.0698666667
M+G_3,0.8488965234,1.6634666667,0.0202333333
Glu_1,-1.8380944491000002,-0.3239333333,0.0385333333
Glu_2,-1.4314244221,-0.19313333330000002,0.1411333333
Glu_3,-0.8968159258,-0.5807333333,0.2310333333
Fru_1,-1.8656880002,1.8005666667,0.5758333333
Fru_2,-0.0890411252,-0.7262333333000001,0.6035333333
Fru_3,0.8678174398,-0.0735333333,-0.3261666667
Mal_1,3.2899570465,1.6691666667,-0.033066666700000004
Mal_2,2.1206318727,0.9545666667,0.1433333333
Mal_3,1.6207597296,2.6303666667,-0.0349666667
G+S_2,0.5917950515,-0.5014333333000001,0.4199333333
G+S_3,0.5465823488,0.5647666667,0.1964333333
Pyr_1,3.6763099875,-0.7984333333,-1.0976666667
Pyr_2,1.8043249431000001,-0.3594333333,0.0542333333
