locus,gene_weight,gene_name,gene_product,COG,operon,regulator,SigA,Fnr,link
BSU37260,0.262487281,narJ,chaperone for the nitrate reductase (protein J),No COG category,narG->narI,"SigA,Fnr",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU37260
BSU37270,0.251461455,narH,nitrate reductase (beta subunit),No COG category,narG->narI,"SigA,Fnr",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU37270
BSU37280,0.24551493100000002,narG,nitrate reductase (alpha subunit),No COG category,narG->narI,"SigA,Fnr",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU37280
BSU37250,0.240208027,narI,nitrate reductase (gamma subunit),No COG category,narG->narI,"SigA,Fnr",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU37250
BSU37320,0.206426406,narK,nitrite extrusion protein,No COG category,narK->fnr,"SigA,Fnr,NsrR",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU37320
BSU37290,0.188616903,arfM,unknown,No COG category,arfM,"SigA,Fnr",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU37290
new_3823159_3823531_c,0.17958394800000002,S1447,3'UTR of narI,No COG category,,"SigA,Fnr",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3823159_3823531_c
new_3830002_3830131_c,0.14197723,S1448,intergenic region,No COG category,,"SigA,Fnr",True,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3830002_3830131_c
BSU37300,0.133603052,ywiC,unknown,No COG category,ywiC,,False,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU37300
