,uspE
Cr_1,-0.0028751763694991267
Cr_2,-0.007742421667756094
Cr_3,-0.010960414455990677
Cr_4,-0.012879436767777905
Cr_5,-0.014870309035038184
Cr_6,-0.018291925539932804
Fe_1,-0.007052652848084829
Fe_2,-0.01795739338737443
Fe_3,-0.02363468816015066
Fe_4,-0.02576061561602597
Fe_5,-0.021504263949914827
Fe_6,-0.01170763823102804
Cd_1,-0.0021132415497586926
Cd_2,-0.0017265703412928744
Cd_3,-0.0003183777781675617
Cd_4,7.702282151226382e-05
Cd_5,-0.004481149360133211
Cd_6,-0.0021925763489328114
Zn_1,0.0077230202238466935
Zn_2,0.011604163916576949
Zn_3,0.009142004539060071
Zn_4,-0.0007931156382974508
Zn_5,-0.006482147506768011
Zn_6,-0.014335327923491625
Cu_1,0.0009320466800722916
Cu_2,0.0012824701856052685
Cu_3,0.002249433929864584
Cu_4,-0.0008305511826554148
Cu_5,-0.007420196622441006
Cu_6,-0.016742076957769674
Pb_1,0.01424478108297737
Pb_2,0.028602536553602582
Pb_3,0.04320960243265315
Pb_4,0.05572202041087829
Pb_5,0.0625988405391962
Pb_6,0.0726307916421827
