,envY
Cr_1,-0.010412137121970016
Cr_2,-0.01472979837993694
Cr_3,-0.006612503389084218
Cr_4,-0.012451776134652605
Cr_5,-0.01710085447255703
Cr_6,-0.02723289375642844
Fe_1,-0.051738797302568335
Fe_2,0.017221092469683612
Fe_3,0.21352262993774154
Fe_4,0.4103332666541007
Fe_5,0.5943222483989828
Fe_6,0.8305355878421978
Cd_1,0.002070931829647918
Cd_2,0.010542665770794206
Cd_3,0.021305479060481275
Cd_4,0.0330031293390839
Cd_5,0.03419216385116347
Cd_6,0.03721955955140143
Zn_1,-0.004847833651748213
Zn_2,-0.0027399016320113307
Zn_3,-0.0004594926504304484
Zn_4,0.014615438885100468
Zn_5,0.034709615274649205
Zn_6,0.03798393921867984
Cu_1,0.015769630905308613
Cu_2,0.032048042252450185
Cu_3,0.05019256565336089
Cu_4,0.0616295036820619
Cu_5,0.06838371584805794
Cu_6,0.0759435139012465
Pb_1,0.008904791651343434
Pb_2,0.027746875627750075
Pb_3,0.042240286681377096
Pb_4,0.045619891681439394
Pb_5,0.054313185926445545
Pb_6,0.06836439573840626
