,exuR
Cr_1,0.002284258378566269
Cr_2,0.0061311464318162
Cr_3,0.010563493002083523
Cr_4,0.013561382402850977
Cr_5,0.011282352275546258
Cr_6,0.007785762041806295
Fe_1,-0.010006343227978949
Fe_2,-0.02793408044820487
Fe_3,-0.0470662314524568
Fe_4,-0.06538724028592834
Fe_5,-0.07537411769108067
Fe_6,-0.08979094980169652
Cd_1,-0.0005325511765689223
Cd_2,0.001945899838122762
Cd_3,0.00655021191044592
Cd_4,0.0117710533209777
Cd_5,0.012997847718424662
Cd_6,0.019537498642760876
Zn_1,-0.0011424434481181855
Zn_2,-0.0004849459858060741
Zn_3,0.008529364686082197
Zn_4,0.010659807921416627
Zn_5,0.02199275027351316
Zn_6,0.028061822618100092
Cu_1,-0.0006186230599248148
Cu_2,-0.0017522506895751265
Cu_3,-0.00018714547318782442
Cu_4,0.001976846868535179
Cu_5,0.0033788280317615838
Cu_6,0.0076109391632003314
Pb_1,-0.00021845583132888496
Pb_2,0.0033737303100349874
Pb_3,0.010526002013913741
Pb_4,0.014016319815452928
Pb_5,0.02497110265495572
Pb_6,0.03149225756664535
