,aqpZ
Cr_1,0.002739292366599447
Cr_2,0.00760107952682133
Cr_3,0.008862490226161288
Cr_4,0.006934017654707406
Cr_5,0.008856299191637414
Cr_6,0.0097176413731943
Fe_1,-0.012575628005191616
Fe_2,-0.041964765257152835
Fe_3,-0.09489651877949992
Fe_4,-0.17138522144889934
Fe_5,-0.2474706587659326
Fe_6,-0.3161812885832255
Cd_1,-0.0007749477023470746
Cd_2,-0.0005927880295263874
Cd_3,0.00011128258334025214
Cd_4,-0.0011249673324052244
Cd_5,-0.004905399277728128
Cd_6,-0.003449553610711197
Zn_1,0.0006952618662824874
Zn_2,-0.005671902833536761
Zn_3,-0.01491277370217958
Zn_4,-0.015673853637334274
Zn_5,-0.01892926399203934
Zn_6,-0.023601408597818514
Cu_1,0.0033759585218566647
Cu_2,0.0063784877616040615
Cu_3,0.004702076466242386
Cu_4,0.0046068398889576685
Cu_5,0.0072387674751292095
Cu_6,0.008744696720344045
Pb_1,0.010213206347184436
Pb_2,0.02065855048503564
Pb_3,0.032145541589831905
Pb_4,0.04220358059927507
Pb_5,0.0500539207798276
Pb_6,0.05828306095697045
