,A,PhoB
R2,,0.5813493802163764
xmin,,-5.282633958
xmid,,-2.8923848918686486
xmax,,5.022704642
ystart,,-6.8531078519248885
yend,,11.337595681884002
control__wt_glc__1,-0.228575998,0.022011199000000002
control__wt_glc__2,0.228575998,-0.022011199000000002
fur__wt_dpd__1,-1.1989601839,0.49364744400000005
fur__wt_dpd__2,-1.2493372812,0.6525144970000001
fur__wt_fe__1,0.5865439792,-0.33624591
fur__wt_fe__2,0.6432850306,-0.251041913
fur__delfur_dpd__1,-1.6403709057,0.48604134
fur__delfur_dpd__2,-1.8999215207,0.240288086
fur__delfur_fe2__1,0.4566226083,0.022271428000000003
fur__delfur_fe2__2,0.7450738434,0.086509865
acid__wt_ph5__1,1.0917892657,0.28386598700000004
acid__wt_ph5__2,1.1915659265,0.45290884800000003
acid__delgadx_ph5__2,1.140516494,0.111884694
acid__delgadw_ph5__1,1.2637480264,0.517494837
acid__delgadw_ph5__2,1.2746658677,0.460631214
acid__delgade_ph5__1,1.4171077489,0.641170009
acid__delgade_ph5__2,1.6104101188,0.568871652
oxidative__wt_pq__1,-0.6771764233,0.521026505
oxidative__wt_pq__2,-0.6870330118,0.8105942770000001
oxidative__deloxyr_pq__1,0.4802749377,0.8091225999999999
oxidative__deloxyr_pq__2,0.0957837326,0.7159930750000001
oxidative__delsoxr_pq__1,-0.6610045277000001,0.40233147300000005
oxidative__delsoxr_pq__2,-0.7860047704,0.5397652470000001
oxidative__delsoxs_pq__1,-0.6975253293,0.6787950770000001
oxidative__delsoxs_pq__2,-0.5962667314,0.6795322500000001
nac_ntrc__wt_csn__1,0.0442926723,0.70581766
nac_ntrc__wt_csn__2,-0.11619142730000001,0.722466445
nac_ntrc__wt_cytd__1,0.047831240600000005,0.25602124200000004
nac_ntrc__wt_cytd__2,-0.0866143798,0.12034849700000001
nac_ntrc__wt_gln__1,0.25008055690000003,0.57113174
nac_ntrc__wt_gln__2,0.2663322696,0.6968090960000001
nac_ntrc__bw_delnac_csn__1,-1.2646096771,0.9693647620000001
nac_ntrc__bw_delnac_csn__2,-0.8203448831,0.539851195
nac_ntrc__bw_delnac_cytd__1,-0.6837004560000001,0.42477888
nac_ntrc__bw_delnac_cytd__2,-0.6733774867,0.132614102
nac_ntrc__bw_delnac_gln__1,-0.9179408373,0.222514347
nac_ntrc__bw_delnac_gln__2,-1.6949135394,0.155833298
nac_ntrc__bw_delnac_nh4__1,0.08411866800000001,-0.16307021100000002
nac_ntrc__bw_delnac_nh4__2,0.1271658575,-0.17171707500000002
misc__wt_no_te__1,0.9511718121,0.362815842
misc__wt_no_te__2,0.8229136994,0.20767909
misc__bw_delcbl__1,0.2729873342,-0.054349497000000004
misc__bw_delcbl__2,0.4062635148,0.078080284
misc__bw_delfabr__1,-0.2970384901,-0.036756825
misc__bw_delfabr__2,0.0423748701,-0.27888402100000004
misc__bw_delfadr__1,1.0050293665,0.055554175000000004
misc__bw_delfadr__2,0.6237913187,0.08151739200000001
misc__nitr_031__1,0.8523120813,0.6076943020000001
omics__wt_glu__1,0.5058918892000001,0.077462982
omics__wt_glu__2,1.3544374178,0.282243562
omics__wt_gly__1,0.9060220281,0.058642946
omics__wt_gly__2,0.5799532202000001,0.097070845
omics__wt_thr__1,-3.3075277901,0.30545267
omics__wt_thr__2,-3.3097983802,0.20350092
omics__bw_ac__1,-0.9133476094,0.032939517
omics__bw_ac__2,-1.2784961687,0.057512668
omics__bw_fum__1,-0.5911628916,0.17821879100000002
omics__bw_fum__2,0.032374180100000004,0.259079693
omics__bw_glc__1,-0.9822124302,0.071672731
omics__bw_glc__2,-0.8426474206000001,-0.186028414
omics__bw_pyr__1,-0.7441200582,-0.167707658
omics__bw_pyr__2,-0.8327169741,0.25778189
ompr__wt_nacl__1,-3.8735318209000003,-0.53037413
ompr__wt_nacl__2,-4.0151151559,-0.42613677400000005
ompr__bw_delompr_nacl__1,-4.850746272,-0.6306148970000001
ompr__bw_delompr_nacl__2,-4.6304737549,-0.381703169
minspan__wt_ade__1,-2.2449366645,-0.7445519540000001
minspan__wt_glc__2,-1.0642924771,-0.7262216290000001
minspan__wt_glc__3,-1.1606177938,-0.6447048470000001
minspan__wt_glc__4,-1.3804947871,-0.391720618
minspan__wt_glc_anaero__1,-2.6625353321,-0.29310278
minspan__wt_glc_anaero__2,-1.8465303693,-0.508831304
minspan__wt_trp__1,-4.2091723287,-0.6536301440000001
minspan__bw_delcra_glc__2,-2.4523393833,-0.891919152
minspan__bw_delcra_trp__1,-4.3657779972,-0.630348373
minspan__bw_delmntr__1,-4.9423158552,-0.6604540999999999
minspan__bw_delnac_ade__1,-3.7755435366,-1.488642728
minspan__bw_delnac_glc__1,-0.5675874693,-0.5626343140000001
cra_crp__wt_ac__1,-1.3492147693,-0.192730494
cra_crp__wt_ac__2,-1.4426122805000001,-0.160796145
cra_crp__wt_fru__1,0.8636497569,0.44613096300000005
cra_crp__wt_fru__2,1.2082963524,0.49113128400000006
cra_crp__delcra_ac__1,-1.9295196494,-0.09888292800000001
cra_crp__delcra_ac__2,-2.1478413113,-0.024220662
cra_crp__delcra_fru__1,1.1043332506,0.24507790100000001
cra_crp__delcra_fru__2,1.1346766272,0.388442286
cra_crp__delcra_glc__1,1.5060354295,0.016547114
cra_crp__delcra_glc__2,1.4677699091,0.11660711500000001
rpoB__wt_031__1,1.3146309091,0.168568762
rpoB__wt_044__1,1.2394756395,0.23178289400000002
rpoB__wt_lb__1,-1.0167355883,-0.28936932800000004
rpoB__wt_lb__2,-0.2862841745,0.12926552600000002
rpoB__rpoBE546V_031__1,1.1698345394,0.30834904300000004
rpoB__rpoBE546V_044__1,1.0242209015,0.521447067
rpoB__rpoBE546V_lb__1,0.07201380660000001,0.24508400100000002
rpoB__rpoBE546V_lb__2,-0.2999173102,0.125082669
rpoB__rpoBE546V_glc__1,0.004411305,0.042226481
rpoB__rpoBE672K_glc__1,0.0749013079,-0.78429118
rpoB__rpoBE672K_glc__2,-0.7286432603,-1.339148882
rpoB__rpoBE672K_lb__1,2.0797838812,-0.181600437
rpoB__rpoBE672K_lb__2,1.479264041,-0.35981423500000004
crp__wt_fru__1,-0.4497660647,-0.263270875
crp__wt_glyc__1,0.013984557100000001,-0.15422654600000002
crp__wt_glyc__2,-0.45946151630000004,-0.169850893
crp__delar1_glyc__1,-0.32337540340000004,-0.16788697200000002
crp__delar1_glyc__2,-0.6693864197,0.24507624700000002
crp__delar1ar2_glyc__1,1.0842117728,0.359928688
crp__delar1ar2_glyc__2,0.8523245445000001,0.22270624700000002
crp__delar1ar2_glyc__3,0.5518642252,0.432346595
crp__delar2_glyc__1,1.5660246698,0.39724635
crp__delar2_glyc__2,1.1484361661,-0.023272774000000003
crp__delar2_glyc__3,1.612661896,0.359729713
crp__delcrp_fru__1,0.4657312994,0.410423564
crp__delcrp_fru__2,0.4218647191,0.544330526
crp__delcrp_fru__3,0.12467769470000001,0.5963568960000001
crp__delcrp_glc__1,-0.1124386614,0.7367287690000001
crp__delcrp_glc__2,-0.4532898614,0.49549939
crp__delcrp_glc__3,0.0202943649,0.399243171
crp__delcrp_glyc__1,1.1623853263,0.29728043600000004
crp__delcrp_glyc__2,0.6142404043,0.674683997
crp__delcrp_glyc__3,0.3996077575,0.43483354900000004
glu__glu_ale3__1,-0.8651314869000001,-0.468250518
glu__glu_ale4__1,0.27397882020000003,-0.7579673520000001
glu__glu_ale5__1,-0.5516752441,-0.9364227310000001
glu__glu_ale6__1,-0.9978917581000001,-0.9269405030000001
glu__glu_ale8__1,-1.91377758,-0.5230809390000001
glu__glu_ale9__1,-1.2373017684,-0.773978979
glu__glu_ale10__1,-0.8858701644,-0.8766990050000001
