,fldA
Cr_1,-0.003935776918043135
Cr_2,0.0006099308250013053
Cr_3,0.010536173905358538
Cr_4,0.02694771345251721
Cr_5,0.026798366095617962
Cr_6,0.026855778509933183
Fe_1,-0.009302935238743731
Fe_2,-0.025877965777817983
Fe_3,-0.02948794263778877
Fe_4,-0.05063810455340703
Fe_5,-0.060595508146642614
Fe_6,-0.06972877922533792
Cd_1,-0.012196665747171324
Cd_2,-0.019990231408628097
Cd_3,-0.023063649437146318
Cd_4,-0.019024704409205586
Cd_5,-0.02929339128262805
Cd_6,-0.029360222322638345
Zn_1,-0.00960421781738464
Zn_2,-0.01155486531990599
Zn_3,-0.010855079727057694
Zn_4,0.011413344964479993
Zn_5,0.044929048446435166
Zn_6,0.0717803403483868
Cu_1,0.00014256866135145882
Cu_2,0.0023986982845155976
Cu_3,0.0016029758246128179
Cu_4,0.0006916793060302836
Cu_5,0.002468419702238125
Cu_6,0.002046330432754905
Pb_1,0.007043159557888805
Pb_2,0.01358448581067145
Pb_3,0.018399347065747192
Pb_4,0.028791557333337638
Pb_5,0.038124960722644215
Pb_6,0.05056330324101994
