,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X
63,Crp ARs__delcrp_glc,4.422624351433334,0.13347550778442946,3.0,118.0,4.5013508497,119.0,4.2685121806,120.0,4.498010024,,,,,,
64,Crp ARs__delcrp_glyc,4.643329794366667,0.2789957281830265,3.0,121.0,4.3480336006,122.0,4.9025069673,123.0,4.6794488152,,,,,,
65,Glucose Evolution__glu_ale3,3.0963594438,,1.0,124.0,3.0963594438,,,,,,,,,,
66,Glucose Evolution__glu_ale4,4.1031379297,,1.0,125.0,4.1031379297,,,,,,,,,,
67,Glucose Evolution__glu_ale5,3.9393014913,,1.0,126.0,3.9393014913,,,,,,,,,,
68,Glucose Evolution__glu_ale6,3.3713091644,,1.0,127.0,3.3713091644,,,,,,,,,,
69,Glucose Evolution__glu_ale8,3.6189679949,,1.0,128.0,3.6189679949,,,,,,,,,,
70,Glucose Evolution__glu_ale9,3.607880356,,1.0,129.0,3.607880356,,,,,,,,,,
71,Glucose Evolution__glu_ale10,3.2712622902,,1.0,130.0,3.2712622902,,,,,,,,,,
72,42C Evolution__wt_42c,4.5985301018,,1.0,131.0,4.5985301018,,,,,,,,,,
73,42C Evolution__42c_ale1,3.1465637818,,1.0,132.0,3.1465637818,,,,,,,,,,
74,42C Evolution__42c_ale2,3.1350947939,,1.0,133.0,3.1350947939,,,,,,,,,,
75,42C Evolution__42c_ale3,4.2600792728,,1.0,134.0,4.2600792728,,,,,,,,,,
76,42C Evolution__42c_ale4,4.7201153453,,1.0,135.0,4.7201153453,,,,,,,,,,
77,42C Evolution__42c_ale5,5.0205361935,,1.0,136.0,5.0205361935,,,,,,,,,,
78,42C Evolution__42c_ale6,2.6138651075,,1.0,137.0,2.6138651075,,,,,,,,,,
79,42C Evolution__42c_ale8,3.5401025621,,1.0,138.0,3.5401025621,,,,,,,,,,
80,42C Evolution__42c_ale9,3.6522640214,,1.0,139.0,3.6522640214,,,,,,,,,,
81,42C Evolution__42c_ale10,4.0196936291,,1.0,140.0,4.0196936291,,,,,,,,,,
82,Substrate-switching Evolution__wt_ac,4.2612226476,,1.0,141.0,4.2612226476,,,,,,,,,,
83,Substrate-switching Evolution__wt_glc,5.403992853,,1.0,142.0,5.403992853,,,,,,,,,,
84,Substrate-switching Evolution__wt_glyc,5.6511504192,,1.0,143.0,5.6511504192,,,,,,,,,,
85,Substrate-switching Evolution__wt_xyl,5.9755901927,,1.0,144.0,5.9755901927,,,,,,,,,,
86,Substrate-switching Evolution__glc_ale1,4.5011844258,,1.0,145.0,4.5011844258,,,,,,,,,,
87,Substrate-switching Evolution__glc_ale2,4.3117915093,,1.0,146.0,4.3117915093,,,,,,,,,,
88,Substrate-switching Evolution__glc_ale3,4.420727593,,1.0,147.0,4.420727593,,,,,,,,,,
89,Substrate-switching Evolution__glyc_ale1,4.7075702142,,1.0,148.0,4.7075702142,,,,,,,,,,
90,Substrate-switching Evolution__glyc_ale2,3.8833831976,,1.0,149.0,3.8833831976,,,,,,,,,,
91,Substrate-switching Evolution__xyl_ale1,3.9410889182,,1.0,150.0,3.9410889182,,,,,,,,,,
92,Substrate-switching Evolution__xyl_ale2,4.4652765785,,1.0,151.0,4.4652765785,,,,,,,,,,
93,Substrate-switching Evolution__xyl_ale3,6.0137490167,,1.0,152.0,6.0137490167,,,,,,,,,,
94,Substrate-switching Evolution__glc_ac_ac2,4.8181904395,,1.0,153.0,4.8181904395,,,,,,,,,,
95,Substrate-switching Evolution__glc_ac_glc1,6.0295498825,,1.0,154.0,6.0295498825,,,,,,,,,,
96,Substrate-switching Evolution__glc_ac_glc2,4.5684009712,,1.0,155.0,4.5684009712,,,,,,,,,,
97,Substrate-switching Evolution__glc_glyc_glc,4.8680051869,,1.0,156.0,4.8680051869,,,,,,,,,,
98,Substrate-switching Evolution__glc_glyc_glyc,4.5836894136,,1.0,157.0,4.5836894136,,,,,,,,,,
99,Substrate-switching Evolution__glc_xyl_glc,4.9450725532,,1.0,158.0,4.9450725532,,,,,,,,,,
100,Substrate-switching Evolution__glc_xyl_xyl,4.9632712218,,1.0,159.0,4.9632712218,,,,,,,,,,
101,PGI KO Evolution__glu4_delpgi,3.6231586913,,1.0,160.0,3.6231586913,,,,,,,,,,
102,PGI KO Evolution__pgi_ale1,5.0303812819000004,,1.0,161.0,5.0303812819000004,,,,,,,,,,
103,PGI KO Evolution__pgi_ale2,4.3979679724,,1.0,162.0,4.3979679724,,,,,,,,,,
104,PGI KO Evolution__pgi_ale3,4.5548853125,,1.0,163.0,4.5548853125,,,,,,,,,,
105,PGI KO Evolution__pgi_ale5,3.9404823110000002,,1.0,164.0,3.9404823110000002,,,,,,,,,,
106,PGI KO Evolution__pgi_ale6,3.3363061567,,1.0,165.0,3.3363061567,,,,,,,,,,
107,PGI KO Evolution__pgi_ale7,3.6739768215,,1.0,166.0,3.6739768215,,,,,,,,,,
108,PGI KO Evolution__pgi_ale8,4.0676230507,,1.0,167.0,4.0676230507,,,,,,,,,,
109,ICA__wt_glc,4.818166296849999,0.6990251839219142,6.0,168.0,4.1199173704,169.0,4.355516749,170.0,4.4533738921,171.0,4.5982170713,192.0,5.5558863425,193.0,5.8260863558
110,ICA__arg_sbt,4.16234005085,0.2042978227525848,2.0,172.0,4.017879675,173.0,4.3068004267,,,,,,,,
111,ICA__cytd_rib,4.50880191285,0.032112671882309714,2.0,174.0,4.4860948248,175.0,4.5315090009,,,,,,,,
112,ICA__gth,4.76296454035,0.1380425879754767,2.0,176.0,4.8605753904,177.0,4.6653536903,,,,,,,,
113,ICA__leu_glcr,4.3922928592999995,0.08034449776406855,2.0,178.0,4.4491049985,179.0,4.3354807201,,,,,,,,
114,ICA__met_glc,4.447404790849999,0.12888965072158726,2.0,180.0,4.5385435369,181.0,4.3562660448,,,,,,,,
115,ICA__no3_anaero,4.8758229878,0.288558034272578,2.0,182.0,4.671781645,183.0,5.0798643306,,,,,,,,
116,ICA__phe_acgam,4.45746676255,0.14802620698158153,2.0,184.0,4.5621370973,185.0,4.3527964278,,,,,,,,
117,ICA__thm_gal,4.4127630773,0.06503895595913832,2.0,186.0,4.4587525641,187.0,4.3667735905,,,,,,,,
118,ICA__tyr_glcn,4.5165794325,0.05047712728777191,2.0,188.0,4.4808867135,189.0,4.5522721515,,,,,,,,
119,ICA__ura_pyr,4.9916619202,0.21955404675866486,2.0,190.0,4.8364137649,191.0,5.1469100755,,,,,,,,
