,yfiE
Cr_1,-0.00012951439386325888
Cr_2,-0.002468127476522025
Cr_3,-0.002439857271426214
Cr_4,-0.0030777960115674035
Cr_5,-0.007855643503453413
Cr_6,-0.01321984503561353
Fe_1,-0.011722585815237215
Fe_2,-0.036319822530515
Fe_3,-0.04542561739660345
Fe_4,-0.05827554484101018
Fe_5,-0.05057725941406612
Fe_6,-0.03845060067569979
Cd_1,0.001821246611280954
Cd_2,0.004130100055660909
Cd_3,0.00816369458042161
Cd_4,0.012485858030935387
Cd_5,0.012001233169389315
Cd_6,0.017634957031379694
Zn_1,0.015137504971719297
Zn_2,0.052205597425559004
Zn_3,0.10023510647310392
Zn_4,0.1417731970829218
Zn_5,0.17547361889132998
Zn_6,0.2019690180679388
Cu_1,-0.0040727271765669685
Cu_2,-0.002422707382076914
Cu_3,0.0017661062720202047
Cu_4,0.008820925414505092
Cu_5,0.01956142348181833
Cu_6,0.02422576664889299
Pb_1,0.018876518526951398
Pb_2,0.0258771408836098
Pb_3,0.03816866298354028
Pb_4,0.043452090820495816
Pb_5,0.04540440730356359
Pb_6,0.053758729839257655
