,PSPTOB0040
SRX1828913,-0.0465744939
SRX1828914,0.5827762739
SRX1828915,0.1433128582
SRX1828916,0.1414170941
SRX1828917,-0.0967383643
SRX1828918,0.2582280812
SRX3983989,1.0021144608
SRX3983990,0.77200318
SRX3983993,1.4967312727
SRX3983994,1.5668118648
SRX3983995,0.6242836316
SRX3983996,2.1931816242
SRX3983997,1.6663489956
SRX3983998,0.3948037515
SRX3983999,0.6809746995
SRX3984000,0.9712646657
SRX3984001,1.5056958797000002
SRX3984002,1.4646775122
SRX3984003,1.5956717243
SRX3984004,0.5586411275000001
SRX3984005,1.1592696929
SRX3984006,1.4340631415
SRX3984007,1.3104355991
SRX3984008,0.7606180714
SRX3984009,0.38066582260000004
SRX3984010,1.6202845706
SRX3984011,0.5502248824
SRX3984012,0.5215868282
SRX3984013,0.2637694397
SRX3984014,0.5797188584
SRX3984015,1.4701481838000001
SRX3984016,0.6731093946000001
SRX3984017,1.7007687125
SRX3984019,0.6064241398
SRX3984020,1.3598049199
SRX3984021,2.0080721422
SRX3984022,1.8486102965
SRX3984023,0.014566310300000001
SRX3984024,0.6795969567
SRX3984025,0.8162909717
SRX3984026,0.9651007241
SRX3984027,0.8661867033
SRX3984028,0.7224563037
SRX3984029,0.9730962234
SRX3984031,1.6547839169
SRX3984032,1.5441508683
SRX3984034,0.0782061927
SRX3984035,0.7905070672000001
SRX3984036,1.8319594781
SRX3984037,2.3263924937000002
SRX3984038,1.5509826708
SRX3984039,1.9966259353
SRX3984040,0.7042126163
SRX3984041,1.5598733006
SRX3984042,1.9170791136
SRX3984043,1.2577094196
SRX3984045,0.3749917105
SRX3984046,0.0388056252
SRX3984047,1.5571467129
SRX3984048,1.5391167078999999
SRX3984049,1.6184732499
SRX3984050,1.4440467909
SRX3984051,1.6988477853
SRX3984052,1.0292319131
SRX3984056,1.5308299532
SRX3984057,1.6050129337999999
SRX3984058,1.4124700734
SRX3984059,0.2827215262
SRX3984061,0.2156516165
SRX3984062,0.41511461800000005
SRX3984063,0.5860731991
SRX3984064,0.8537933036
SRX3984065,0.5327622521
SRX3984066,0.7223463893000001
SRX3984067,0.6851609639
SRX3984068,0.6148362341
SRX3984069,1.2272813644
SRX3984070,1.5227695162
SRX3984071,1.4658781438
