,ybeB
Cr_1,-0.013729625091593202
Cr_2,-0.02371024608479777
Cr_3,-0.02757018919593536
Cr_4,-0.03550455781294765
Cr_5,-0.040462418256427074
Cr_6,-0.049078363363545915
Fe_1,-0.007863538827801069
Fe_2,-0.0191114139848592
Fe_3,-0.004130513552199523
Fe_4,0.0007559379479293745
Fe_5,0.0047396788071327614
Fe_6,0.012411124140672823
Cd_1,0.0013913625846445866
Cd_2,0.002670934713800917
Cd_3,0.00777965865610819
Cd_4,0.007645033984934949
Cd_5,0.004071004626535054
Cd_6,0.004110000927684194
Zn_1,-0.013106532891684704
Zn_2,-0.014490830067853922
Zn_3,-0.0054509492294935215
Zn_4,0.004637511826094721
Zn_5,0.01209619432561702
Zn_6,0.013615528803814995
Cu_1,0.0006542424335178604
Cu_2,-0.00039065375921360965
Cu_3,-0.0018884372494727122
Cu_4,-0.0021814459788983935
Cu_5,-0.0057299982827809775
Cu_6,-0.00573082329193227
Pb_1,0.002430822108052072
Pb_2,0.010266304845536185
Pb_3,0.01478450481277058
Pb_4,0.01707147214333603
Pb_5,0.022066606297831158
Pb_6,0.028723048029283806
