,ydgD
Cr_1,-0.003939388260303164
Cr_2,0.0013771355851572038
Cr_3,0.01401957990274296
Cr_4,0.027817484921107912
Cr_5,0.037274844315702535
Cr_6,0.050148728003962
Fe_1,0.00012619311797758127
Fe_2,-0.006197839970609049
Fe_3,-0.0086694540487721
Fe_4,-0.0019371962030691017
Fe_5,0.013282485993971336
Fe_6,0.028196791361653588
Cd_1,-0.005081743543933243
Cd_2,-0.00534124645675379
Cd_3,-0.001598013170750415
Cd_4,0.005243526877872735
Cd_5,0.002762130569691273
Cd_6,0.0019876883849568594
Zn_1,0.0038562973931293865
Zn_2,0.008113967161562267
Zn_3,0.034475919380183705
Zn_4,0.06440732839485093
Zn_5,0.09291388643017463
Zn_6,0.11703864127075513
Cu_1,0.0013953418046016154
Cu_2,0.003447243278678868
Cu_3,0.010498798268009243
Cu_4,0.018503212856420148
Cu_5,0.025968958757562333
Cu_6,0.0288735612643398
Pb_1,0.0030850778217570373
Pb_2,-0.0006726002402764852
Pb_3,0.00633253335973519
Pb_4,0.01756044608735345
Pb_5,0.033245778796879545
Pb_6,0.0538618005195253
